# period  BIC_array
1.000000000000000000e+02 -8.172695809500510222e+00
1.003324482470566323e+02 -8.229858545179240537e+00
1.006671143039225171e+02 -8.235519037726476199e+00
1.010040204378614135e+02 -7.275220563903303628e+00
1.013431892152285769e+02 -5.457299487882323774e+00
1.016846435065093175e+02 -4.149429245744954642e+00
1.020284064914599895e+02 -4.513215257000751990e+00
1.023745016643532466e+02 -4.281601336238395561e+00
1.027229528393307874e+02 -3.178099954622098267e+00
1.030737841558655106e+02 -2.740039867068844615e+00
1.034270200843362062e+02 -5.026605051510614430e+00
1.037826854317170415e+02 -7.439252690037505999e+00
1.041408053473850828e+02 -8.292032429605683319e+00
1.045014053290482110e+02 -7.867753827558885860e+00
1.048645112287969283e+02 -6.895936082609523510e+00
1.052301492592824843e+02 -6.255193241002871218e+00
1.055983460000248044e+02 -6.613452580929902069e+00
1.059691284038534462e+02 -7.478504402947578455e+00
1.063425238034845393e+02 -8.074481294283941679e+00
1.067185599182373181e+02 -7.847051729029317357e+00
1.070972648608937732e+02 -7.246426526798472878e+00
1.074786671447046587e+02 -6.960377701845231968e+00
1.078627956905460223e+02 -6.420639214361244740e+00
1.082496798342294682e+02 -5.182324132227449809e+00
1.086393493339704577e+02 -4.528240782426678379e+00
1.090318343780185160e+02 -4.809696043585518055e+00
1.094271655924533349e+02 -6.596988898649556177e+00
1.098253740491512076e+02 -6.341326075353549641e+00
1.102264912739259586e+02 -2.983173813922007866e+00
1.106305492548489156e+02 -1.116254530840819825e+00
1.110375804507527135e+02 -3.691047740739350047e+00
1.114476177999231794e+02 -7.707939876669115620e+00
1.118606947289848961e+02 -7.654313160094034174e+00
1.122768451619848378e+02 -4.595593727444679644e+00
1.126961035296796467e+02 -3.151620469194085672e+00
1.131185047790317526e+02 -3.959134764142959284e+00
1.135440843829197917e+02 -5.672443813815107205e+00
1.139728783500691236e+02 -3.978306967141634232e+00
1.144049232352081731e+02 -3.227250097454771094e+00
1.148402561494567493e+02 -5.109798852397602786e+00
1.152789147709522126e+02 -5.876016095460386168e+00
1.157209373557204088e+02 -4.873721104771561841e+00
1.161663627487974253e+02 -3.951034490350480155e+00
1.166152303956093306e+02 -5.506355769324613902e+00
1.170675803536167336e+02 -7.482811444453204786e+00
1.175234533042313814e+02 -7.945509445177208363e+00
1.179828905650123261e+02 -6.777080300391730816e+00
1.184459341021491952e+02 -6.586160500169285115e+00
1.189126265432407052e+02 -7.593971025788846418e+00
1.193830111903763651e+02 -8.016094369468078185e+00
1.198571320335298935e+02 -8.293472753310311418e+00
1.203350337642731915e+02 -7.730019984839145764e+00
1.208167617898194948e+02 -4.893554806304109661e+00
1.213023622474053838e+02 -7.212009389179456775e-01
1.217918820190209175e+02 -2.326455803085991647e-02
1.222853687464979942e+02 -2.266998635337245105e+00
1.227828708469667731e+02 -2.297180449076563491e+00
1.232844375286912708e+02 -4.224564775605585965e-01
1.237901188072943768e+02 1.632900217368387530e+00
1.242999655223840563e+02 -2.093041090035171692e+00
1.248140293545919235e+02 -6.492717881881844733e+00
1.253323628430364778e+02 -8.262324301609965005e+00
1.258550194032233662e+02 -6.971728075378564427e+00
1.263820533453950219e+02 -5.866038030162258110e+00
1.269135198933439170e+02 -7.337012510051977188e+00
1.274494752037019083e+02 -8.302278838440429354e+00
1.279899763857207233e+02 -7.415608783971947560e+00
1.285350815215578564e+02 -6.269376756909991855e+00
1.290848496870830786e+02 -6.890893343723405451e+00
1.296393409732211239e+02 -8.109949071109440411e+00
1.301986165078468503e+02 -8.120919835543986665e+00
1.307627384782497870e+02 -7.173314147332348512e+00
