# period  BIC_array
1.000000000000000000e+01 5.930598926095171919e-01
1.000198323902392872e+01 1.475967755185934038e+00
1.000396726485130650e+01 2.607290742591430899e+00
1.000595207795044139e+01 3.396540661281733264e+00
1.000793767879001805e+01 3.640666131322291221e+00
1.000992406783909239e+01 3.707436845739152886e+00
1.001191124556709333e+01 3.504846451910339056e+00
1.001389921244381931e+01 2.462574956495132028e+00
1.001588796893944533e+01 1.023272736893318324e+00
1.001787751552451766e+01 4.388168513454502317e-01
1.001986785266995916e+01 1.470276730253431197e+00
1.002185898084706572e+01 3.986700094923207871e+00
1.002385090052750449e+01 7.112765908269921056e+00
1.002584361218332631e+01 9.695046978453660813e+00
1.002783711628694796e+01 1.070850388972144174e+01
1.002983141331116990e+01 9.827503402580418879e+00
1.003182650372916029e+01 7.258131489973607131e+00
1.003382238801447279e+01 3.776595735479872928e+00
1.003581906664103229e+01 1.075102603138816448e+00
1.003781654008314028e+01 4.502659484732021156e-01
1.003981480881548194e+01 1.922155775550209000e+00
1.004181387331311548e+01 4.473848095065250163e+00
1.004381373405147748e+01 7.523410048544974416e+00
1.004581439150638644e+01 9.836621190261212178e+00
1.004781584615403744e+01 1.009192317437180009e+01
1.004981809847100749e+01 7.989971688784635262e+00
1.005182114893424838e+01 4.832974822243158997e+00
1.005382499802109919e+01 1.997022579685221899e+00
1.005582964620927733e+01 3.661178332737335950e-01
1.005783509397687681e+01 1.512170945738944283e-02
1.005984134180237888e+01 6.019873208728085956e-01
1.006184839016464494e+01 1.599291078820897383e+00
1.006385623954291653e+01 2.297476787409664212e+00
1.006586489041682064e+01 2.315632165676561272e+00
1.006787434326636266e+01 1.762367268561661149e+00
1.006988459857194051e+01 1.555472655397124981e+00
1.007189565681432519e+01 1.837866677350689315e+00
1.007390751847468024e+01 2.414446525403036503e+00
1.007592018403454759e+01 3.281969552743021268e+00
1.007793365397585816e+01 3.821840306680087451e+00
1.007994792878092483e+01 3.595747940458409175e+00
1.008196300893244945e+01 2.779487305445059064e+00
1.008397889491351940e+01 1.786842429675175481e+00
1.008599558720760569e+01 1.076456806058558868e+00
1.008801308629856841e+01 7.689563452058791881e-01
1.009003139267065663e+01 8.966177932045411580e-01
1.009205050680850313e+01 1.061770770443786205e+00
1.009407042919712971e+01 9.412702229618616911e-01
1.009609116032194898e+01 7.191949425861139389e-01
1.009811270066875721e+01 4.450143241350588141e-01
1.010013505072374862e+01 3.331803853179735597e-01
1.010215821097349931e+01 5.308054415150991190e-01
1.010418218190497797e+01 1.023145254103155821e+00
1.010620696400554230e+01 1.644420904757680546e+00
1.010823255776294260e+01 2.239055954622472200e+00
1.011025896366531995e+01 2.467597000473574553e+00
1.011228618220120268e+01 2.093316962616654564e+00
1.011431421385952056e+01 1.494499386316761047e+00
1.011634305912958709e+01 1.314775391434409357e+00
1.011837271850111009e+01 1.676512900677494144e+00
1.012040319246419351e+01 2.119329153403100463e+00
1.012243448150933389e+01 2.352366840129207048e+00
1.012446658612741679e+01 2.241244419329404991e+00
1.012649950680972921e+01 1.689181652207707884e+00
1.012853324404794719e+01 8.210649967564904728e-01
1.013056779833414645e+01 2.013684986569614921e-01
1.013260317016079526e+01 3.332376377430819048e-01
1.013463936002075805e+01 1.119759160055650682e+00
1.013667636840729536e+01 1.770848545065859980e+00
1.013871419581406563e+01 1.819068789856942203e+00
1.014075284273512167e+01 1.298095854150119521e+00
1.014279230966491774e+01 4.619916031541606571e-01
1.014483259709830243e+01 1.662504771479689225e-02
1.014687370553052581e+01 5.185360330489174885e-01
1.014891563545723407e+01 1.675348217380246751e+00
1.015095838737447131e+01 2.468049222910963181e+00
1.015300196177868486e+01 2.349616996867098351e+00
1.015504635916671816e+01 1.825043749705400842e+00
1.015709158003581791e+01 1.488571438176563788e+00
1.015913762488363226e+01 1.925436337080213889e+00
1.016118449420820546e+01 3.462977433572746122e+00
1.016323218850798682e+01 5.053355315364569833e+00
1.016528070828182706e+01 5.199403619111876651e+00
1.016733005402898016e+01 3.374051900818017202e+00
1.016938022624909976e+01 1.058925394181187585e+00
1.017143122544224632e+01 3.545419584622777620e-01
1.017348305210887816e+01 2.595464557991363108e+00
1.017553570674986751e+01 7.110296858353194693e+00
1.017758918986648098e+01 1.127563014786585427e+01
1.017964350196039192e+01 1.284516342374035958e+01
1.018169864353368403e+01 1.103634719226261041e+01
1.018375461508884250e+01 6.783082019984362887e+00
1.018581141712875748e+01 2.290448103521157464e+00
1.018786905015672417e+01 6.002305366268956277e-02
1.018992751467645341e+01 1.096782277626175528e+00
1.019198681119205574e+01 4.395256415783819648e+00
1.019404694020804847e+01 6.963196486017750431e+00
1.019610790222935925e+01 6.899310637889811915e+00
1.019816969776132609e+01 4.332903824719778640e+00
