#RESOURCE=yCat_22250032
#Name: J/ApJS/225/32
#Title: Extended abundance analysis of cool stars (Brewer+, 2016)
#Table	J_ApJS_225_32_stars:
#Name: J/ApJS/225/32/stars
#Title: Spectroscopically determined  stellar properties , abundances  an derived parameters  for the 1615 F, G, and K stars
#Column	SPOCS	(I4)	[2/3247] SPOCS ID (G1)	[ucd=meta.id;meta.main]
#Column	Name	(a14)	Star name	[ucd=meta.id]
#Column	Teff	(I4)	[4702/6773] Stellar effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[2.6/5] Stellar surface gravity	[ucd=phys.gravity]
#Column	[M/H]	(F5.2)	[-1.2/0.6] Stellar metallicity	[ucd=phys.abund.Z]
#Column	S	(F6.2)	[-1.9/540] Mount Wilson Ca HK activity index	[ucd=meta.code;spect.index]
#Column	logRhk	(F5.2)	[-6.3/-1.7]? log(R'HK) activity index	[ucd=spect.index]
#Column	Vbr	(F4.1)	[0.6/25] Derived velocity broadening	[ucd=spect.line.broad]
#Column	Vsini	(F4.1)	[0/20.1] Derived projected rotational velocity	[ucd=phys.veloc.rotat]
#Column	Vmac	(F4.1)	[1.6/23.3] Derived macroturbulent velocity	[ucd=phys.veloc]
#Column	Vrad	(F6.1)	[-137/164] Barycentric radial velocity at time of observation	[ucd=phys.veloc;pos.barycenter]
#Column	SNR	(I3)	[14/492] Signal to Noise ratio at 6000 Angstroms	[ucd=stat.snr]
#Column	Crms	(F5.2)	[0.01/0.3] RMS scatter in continuum	[ucd=stat.error]
#Column	Lrms	(F5.2)	[0.01/0.1] RMS scatter in line	[ucd=stat.error]
#Column	N	(I2)	[1/23] Number of spectra fit for that star	[ucd=meta.number]
#Column	[Fe/H]	(F5.2)	[-1.2/0.6]? Derived [Fe/H] abundance	[ucd=phys.abund.Fe]
#Column	RAJ2000	(A10)	SIMBAD Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	SIMBAD Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[1.7/10.1]? V magnitude from SIMBAD	[ucd=phot.mag;em.opt.V]
#Column	Dist	(F6.2)	[3.6/353]? Distance from SIMBAD	[ucd=pos.distance;pos.heliocentric]
#Column	logL	(F5.2)	[-0.8/1.8]? Derived Stellar Luminosity (1)	[ucd=phys.luminosity]
#Column	e_logL	(F5.2)	[0.01/1.1]? Uncertainty in logL (1)	[ucd=stat.error]
#Column	Rstar	(F5.2)	[0.6/10]? Derived Stellar Radius (1)	[ucd=phys.size.radius]
#Column	e_Rstar	(F5.2)	[0.02/4]? Uncertainty in Rstar (1)	[ucd=stat.error]
#Column	Mstar	(F6.2)	[0.2/7]? Derived Stellar Mass (1)	[ucd=phys.mass]
#Column	e_Mstar	(F6.2)	[0.03/14]? Uncertainty in Mstar (1)	[ucd=stat.error]
#Column	Miso	(F5.2)	[0.6/3]? Isochrone derived stellar mass (2)	[ucd=phys.mass]
#Column	logg2	(F5.2)	[1.6/5]? Isochrone derived surface gravity (2)	[ucd=phys.gravity]
#Column	e_logg2	(F5.2)	[0.01/0.3]? Uncertainty in logg-iso (2)	[ucd=stat.error]
#Column	Age	(F4.1)	[0.6/15]? Isochrone derived age (2)	[ucd=time.age]
#Column	CCat	(I3)	Display data from Isaacson+, 2010, J/ApJ/725/875, within 1" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
SPOCS	Name	Teff	logg	[M/H]	S	logRhk	Vbr	Vsini	Vmac	Vrad	SNR	Crms	Lrms	N	[Fe/H]	RAJ2000	DEJ2000	Vmag	Dist	logL	e_logL	Rstar	e_Rstar	Mstar	e_Mstar	Miso	logg2	e_logg2	Age	CCat	Simbad
   2	HD 105        	6033	 4.53	 0.04	  0.38	-4.35	17.8	14.6	 4.9	  10.2	247	 0.02	 0.01	 2	 0.10	00 05 52.5	-41 45 11	 7.51	 39.39	 0.10	 0.03	 1.02	 0.04	  1.29	  0.18	 1.12	 4.44	 0.02	 1.1	  1	Simbad
   4	HD 166        	5489	 4.51	 0.07	  0.42	-4.40	 5.0	 4.1	 2.6	  -7.2	357	 0.01	 0.01	 1	 0.12	00 06 36.8	+29 01 17	 6.07	 13.67	-0.21	 0.02	 0.87	 0.03	  0.89	  0.12	 0.96	 4.53	 0.02	 2.2	  1	Simbad
   6	HD 377        	5895	 4.46	 0.12	  0.38	-4.37	17.5	14.6	 4.1	   0.9	248	 0.01	 0.02	 1	 0.19	00 08 25.7	+06 37 00	 7.59	 39.08	 0.06	 0.03	 1.03	 0.04	  1.12	  0.16	 1.12	 4.44	 0.02	 1.3	  1	Simbad
  10	HD 691        	5489	 4.48	 0.18	  0.56	-4.25	 6.4	 5.6	 2.6	  -3.2	258	 0.01	 0.02	 1	 0.24	00 11 22.4	+30 26 58	 7.95	 34.20	-0.17	 0.03	 0.91	 0.03	  0.91	  0.13	 0.99	 4.50	 0.03	 2.7	  1	Simbad
  12	HD 1388       	5924	 4.32	 0.02	  0.16	-4.97	 4.9	 2.3	 4.2	  29.2	250	 0.01	 0.01	 2	 0.03	00 17 58.9	-13 27 20	 6.51	 27.22	 0.18	 0.02	 1.17	 0.04	  1.05	  0.14	 1.09	 4.34	 0.03	 4.3	  1	Simbad
  13	HD 1461       	5739	 4.34	 0.16	  0.16	-5.01	 3.9	 1.8	 3.3	 -11.6	317	 0.01	 0.01	 3	 0.16	00 18 41.9	-08 03 11	 6.47	 23.25	 0.07	 0.02	 1.10	 0.03	  0.97	  0.13	 1.07	 4.39	 0.03	 4.1	  1	Simbad
  22	HD 2589       	5062	 3.65	-0.03	  0.15	-5.13	 3.6	 0.6	 3.5	  12.9	393	 0.01	 0.01	 1	-0.04	00 30 55.1	+77 01 10	 6.18	 38.51	 0.69	 0.02	 2.89	 0.09	  1.37	  0.18	 1.23	 3.60	 0.04	 5.2	  1	Simbad
  30	HD 3795       	5379	 4.11	-0.50	  0.18	-4.93	 3.1	 1.9	 2.3	 -43.5	250	 0.01	 0.01	 1	-0.54	00 40 32.8	-23 48 18	 6.14	 28.89	 0.43	 0.02	 1.88	 0.06	  1.67	  0.22	 0.94	 3.86	 0.03	11.0	  1	Simbad
  33	HD 3861       	6219	 4.29	 0.12	  0.18	-4.81	 4.8	 0.1	 6.4	 -15.9	293	 0.01	 0.01	 3	 0.15	00 41 11.9	+09 21 18	 6.52	 33.44	 0.34	 0.02	 1.28	 0.04	  1.16	  0.16	 1.25	 4.33	 0.03	 1.6	  1	Simbad
  34	HD 4208       	5639	 4.50	-0.26	  0.19	-4.83	 3.1	 0.1	 3.0	  56.5	246	 0.01	 0.01	 2	-0.29	00 44 26.7	-26 30 56	 7.78	 32.37	-0.15	 0.03	 0.88	 0.03	  0.90	  0.13	 0.90	 4.50	 0.04	 5.5	  1	Simbad
  36	HD 4203       	5582	 4.08	 0.34	  0.15	-5.11	 4.2	 2.9	 2.8	 -15.0	254	 0.01	 0.01	 2	 0.35	00 44 41.2	+20 26 56	 8.70	 77.22	 0.23	 0.07	 1.39	 0.12	  0.85	  0.17	 1.10	 4.21	 0.08	 6.7	  1	Simbad
  39	HD 4307       	5795	 4.05	-0.18	  0.15	-5.08	 4.4	 2.5	 3.6	 -10.3	301	 0.01	 0.01	 3	-0.18	00 45 28.7	-12 52 51	 6.15	 31.00	 0.45	 0.02	 1.67	 0.05	  1.12	  0.15	 1.06	 4.01	 0.03	 7.7	  1	Simbad
  40	HD 4628       	4937	 4.54	-0.22	  0.19	-4.96	 2.1	 0.7	 1.7	  -7.5	296	 0.01	 0.02	 5	-0.25	00 48 23.0	+05 16 50	 5.74	  7.45	-0.53	 0.02	 0.74	 0.02	  0.69	  0.09	 0.75	 4.60	 0.02	11.4	  1	Simbad
  41	HD 4614       	5919	 4.37	-0.21	  0.16	-4.96	 4.3	 0.5	 4.2	  11.6	263	 0.01	 0.01	 3	-0.22	00 49 06.3	+57 48 55	 3.46	  5.95	 0.09	 0.02	 1.05	 0.03	  0.94	  0.12	 0.99	 4.39	 0.03	 5.3	  2	Simbad
  42	HD 4747       	5305	 4.56	-0.23	  0.23	-4.77	 3.1	 2.1	 2.2	  10.3	369	 0.01	 0.01	 3	-0.24	00 49 26.8	-23 12 45	 7.15	 18.69	-0.35	 0.02	 0.79	 0.02	  0.82	  0.11	 0.82	 4.55	 0.03	 7.9	  1	Simbad
  43	HD 4915       	5668	 4.56	-0.20	  0.19	-4.86	 3.5	 1.4	 3.1	  -2.9	274	 0.01	 0.01	 4	-0.21	00 51 10.8	-05 02 21	 6.98	 21.52	-0.19	 0.02	 0.84	 0.03	  0.92	  0.12	 0.93	 4.54	 0.02	 2.1	  1	Simbad
  46	HD 5133       	4921	 4.55	-0.09	  0.43	-4.59	 2.5	 1.7	 1.7	 -14.6	269	 0.01	 0.02	 2	-0.06	00 53 01.1	-30 21 25	 7.15	 14.17	-0.53	 0.02	 0.74	 0.02	  0.72	  0.10	 0.77	 4.60	 0.03	 9.9	  1	Simbad
  50	HD 6558       	6042	 4.18	 0.28	  0.16	-4.97	 7.5	 5.3	 4.9	   7.8	241	 0.01	 0.01	 1	 0.30	01 06 25.7	-00 44 58	 8.20	 74.52	 0.37	 0.05	 1.39	 0.08	  1.07	  0.18	 1.24	 4.28	 0.05	 2.4	  1	Simbad
  54	HD 6872 B     	6216	 4.33	-0.11	  0.19	-4.80	 8.5	 5.1	 6.4	 -41.2	117	 0.01	 0.02	 1	-0.09	01 10 07.2	+51 44 34	 8.09	 79.24	 0.47	 0.26	 1.48	 0.45	  1.70	  1.05	 1.16	 4.33	 0.22	 2.6	  1	Simbad
  56	HD 6963       	5496	 4.56	-0.19	  0.36	-4.47	 3.6	 2.3	 2.6	 -31.6	250	 0.01	 0.01	 1	-0.16	01 10 41.9	+42 55 55	 7.66	 27.08	-0.25	 0.03	 0.83	 0.03	  0.89	  0.12	 0.89	 4.54	 0.03	 3.9	  1	Simbad
  62	HIP 5938      	5432	 4.52	 0.01	  0.52	-4.29	 5.0	 4.2	 2.4	   8.2	254	 0.01	 0.01	 1	 0.07	01 16 24.2	-12 05 49	 7.55	 25.91	-0.24	 0.03	 0.86	 0.03	  0.88	  0.12	 0.93	 4.53	 0.03	 3.2	  1	Simbad
  65	HD 8038       	5667	 4.45	 0.14	  0.19	-4.85	 3.2	 0.6	 3.1	  10.3	256	 0.01	 0.01	 1	 0.16	01 19 29.1	-24 57 04	 8.41	 52.16	 0.00	 0.05	 1.04	 0.06	  1.12	  0.18	 1.04	 4.43	 0.05	 3.8	  1	Simbad
  66	HIP 6276      	5314	 4.47	-0.05	  0.53	-4.32	 5.4	 4.7	 2.2	   9.5	254	 0.01	 0.02	 1	 0.02	01 20 32.3	-11 28 04	 8.43	 34.40	-0.33	 0.04	 0.80	 0.04	  0.68	  0.10	 0.88	 4.55	 0.03	 4.0	  1	Simbad
  67	HD 7924       	5136	 4.55	-0.15	  0.22	-4.85	 1.7	 0.2	 2.0	 -23.4	277	 0.01	 0.01	23	-0.16	01 21 59.1	+76 42 37	 7.17	 16.81	-0.43	 0.02	 0.77	 0.02	  0.77	  0.10	 0.80	 4.57	 0.03	 8.7	  1	Simbad
  71	HD 8574       	6031	 4.21	 0.03	  0.17	-4.89	 6.1	 3.5	 4.9	  18.5	240	 0.01	 0.01	 2	 0.03	01 25 12.5	+28 34 00	 7.12	 44.56	 0.36	 0.03	 1.39	 0.05	  1.13	  0.16	 1.17	 4.22	 0.03	 4.2	  1	Simbad
  74	HD 8765       	5632	 4.38	 0.16	  0.20	-4.82	 4.0	 2.5	 3.0	 -23.2	255	 0.01	 0.01	 2	 0.18	01 26 19.2	-04 40 27	 8.14	 52.97	 0.13	 0.09	 1.21	 0.13	  1.30	  0.32	 1.04	 4.34	 0.08	 6.0	  1	Simbad
  76	HD 8907       	6271	 4.36	 0.04	  0.34	-4.37	16.3	12.9	 6.9	   8.8	249	 0.01	 0.01	 1	 0.11	01 28 34.4	+42 16 04	 6.66	 34.77	 0.32	 0.02	 1.23	 0.04	  1.25	  0.17	 1.24	 4.35	 0.03	 1.1	  1	Simbad
  81	HD 9540       	5417	 4.54	-0.07	  0.29	-4.62	 2.6	 0.8	 2.4	   3.3	261	 0.01	 0.01	 1	-0.04	01 33 15.8	-24 10 41	 6.97	 19.05	-0.27	 0.02	 0.83	 0.02	  0.87	  0.12	 0.91	 4.55	 0.03	 3.5	  2	Simbad
  82	HD 9472       	5751	 4.53	-0.04	  0.39	-4.37	 4.2	 2.3	 3.4	  10.7	245	 0.01	 0.01	 1	-0.01	01 33 19.0	+23 58 32	 7.63	 34.66	-0.04	 0.03	 0.96	 0.03	  1.14	  0.16	 1.01	 4.47	 0.03	 2.8	  1	Simbad
