,Nobs,Nobs_rj,baseline,days_since,end_obs,name,start_obs,temp_date,temp_obs,NAME,HR,HD,SAO,GL,LICK,HIPP,CMP,RA,DEC,ECLON,ECLAT,RAH,RAM,RAS,DECD,DECM,DECS,EPOCH,PAR,PMR,PMD,V,BV,J,H,K,SPTYPE,SPCLASS,RADVEL,PROT,S,RHK,AGE,HINDEX,KINDEX,VRMS,VINT,SRMS,TEMPL,DSST,TAG,OBSPRIORITY,COUNTS,NOBS,NPLANET,FE,TEFF,LOGG,ULOGG,VSINI,MSTAR,UMSTAR,RSTAR,URSTAR,MV,BOLCOR,LSTAR,ULSTAR,COORDREF,CHROMREF,COMMENTS,TARGET_SOURCE,SECACC,BC,JITTER,MERIT,GHENRY,SP2,SP1,RV_BARY,SIG_BIN,SIG_LINE,CHI_NU,PROB_CHI,PERPER,PERHT,P,TP,E,OM,ONEKEPK,MSINI,A,CHI,FAP,TWOKEP1_P,TWOKEP1_TP,TWOKEP1_E,TWOKEP1_OM,TWOKEP1_K,TWOKEP1_MSINI,TWOKEP1_A,TWOKEP2_P,TWOKEP2_TP,TWOKEP2_E,TWOKEP2_OM,TWOKEP2_K,TWOKEP2_MSINI,TWOKEP2_A,TWOKEP_CHI,TWOKEP_FAP,TRIKEP1_P,TRIKEP1_E,TRIKEP1_K,TRIKEP1_MSINI,TRIKEP2_P,TRIKEP2_E,TRIKEP2_K,TRIKEP2_MSINI,TRIKEP2_A,TRIKEP3_P,TRIKEP3_E,TRIKEP3_K,TRIKEP3_MSINI,TRIKEP3_A,TRIKEP_CHI,TRIKEP_FAP,PRI,DATE,SPARE1,SPARE2,SPARE3,SPARE4,NOBS_BIN,NOBS_LICK,NOBS_KECK,STD_STAR,DATE_LAST_UPDATE
0,46,7.0,8017.057138000149,193.26453522546217,2018-09-22 ,225261,1996-10-10 ,2016-01-24,rj222.71,225261,0.0,225261.0,73730.0,0.0,0.0,400.0, ,0.08231141620212133,23.26962916665607,20.76803184748455,10.80627369579187,0.0,4.0,56.3211,23.0,16.0,10.665,2000.0,0.039060000000000004,0.38215,-0.00745,7.82,0.755,6.398,6.027,5.932,G9,V,8033.25,37.4548,0.175,-4.952,9.71007,0.11371099999999999,0.368595,6.43198,3.73406,3.5,,,,,0.0,1.0,0.0,-0.436291,5264.85,4.58654,0.08,0.0,0.7807689999999999,0.0333513,0.811282,0.0222856,5.7786599999999995,0.0,0.0,0.0,Hipparcos,SK,,,0.0856517,0.0,0.0,0.0,,-1.0,10366.9,7511.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
1,44,25.0,6607.896785999648,212.24404222564772,2018-09-03 ,hip428,2000-07-31 ,2011-08-25,rj130.2536,hip428,0.0,0.0,0.0,0.0,0.0,428.0,,0.08635786109500461,45.78656694438722,40.64210253185915,23.25330688756032,0.0,5.0,10.8883,45.0,47.0,11.641,2000.0,0.08698,0.86967,-0.15116,9.97,1.48,6.703,6.097,5.852,M1,,-240.0,48.439,1.545,-4.851,9.43636,5.06566,12.8015,6.37731,5.229509999999999,3.86,,,,,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6671,0.0,0.0,0.0,Hipparcos,,GJ 2 HET,,0.20514000000000002,0.0,0.0,0.0,,-1.0,11757.1,,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2,42,23.0,6606.919128000271,213.21491722529754,2018-09-02 ,38b,2000-07-31 ,2010-08-06,rj96.1012,38b,0.0,0.0,36048.0,0.0,0.0,0.0,,0.09475424603287964,45.8081738097293,40.61449675302391,23.366768527270487,0.0,5.0,41.1153,45.0,48.0,29.4257,2000.0,0.0851,0.8787299999999999,-0.15387,9.08,1.41,0.0,0.0,0.0,K7,,0.0,37.5018,1.708,-4.711,9.222,3.9122800000000004,8.791160000000001,8.85533,3.87839,3.72,,,,,0.0,1.0,0.0,999.0,4092.64,0.0,0.0,2.92549,0.0,0.0,0.0,0.0,8.72965,0.0,0.0,0.0,Simbad,,"GJ 4B, Do 6"" S",,0.21415700000000001,0.0,0.0,0.0,,-1.0,11757.1,,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
3,27,15.0,6606.909950000234,213.21731322538108,2018-09-02 ,38a,2000-07-31 ,2010-08-06,rj96.1013,38a,0.0,0.0,36046.0,0.0,0.0,473.0,,0.09478083292643227,45.809816666709054,40.61575053166013,23.368214192444764,0.0,5.0,41.211,45.0,48.0,35.34,2000.0,0.0851,0.8856,-0.207,8.22,1.41,0.0,0.0,0.0,K2,,0.0,37.5353,1.755,-4.699,9.25424,3.7193400000000003,11.1358,10.234,3.43486,3.72,,,,,0.0,1.0,0.0,999.0,4111.27,0.0,0.0,1.31459,0.0,0.0,0.0,0.0,7.86965,0.0,0.0,0.0,Simbad,,HARPS ,,0.22257800000000003,0.0,0.0,0.0,,-1.0,11757.1,,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
4,27,10.0,7998.116510999855,212.1943522254005,2018-09-03 ,283,1996-10-10 ,2013-11-17,rj184.112,283,0.0,283.0,166064.0,0.0,0.0,616.0, ,0.1257058334350586,-23.818719444407357,-22.48821648602231,351.72233942725717,0.0,7.0,32.541,-23.0,49.0,7.39,2000.0,0.030760000000000003,0.31974,0.09208999999999999,8.7,0.8,7.212,6.825,6.685,K0,V,-42579.6,38.48,0.194,-4.898,9.6938,0.127118,0.499985,5.649290000000001,4.2617,3.5,,,,,0.0,1.0,0.0,-0.553254,5093.74,4.56965,0.08,0.889431,0.712008,0.0294913,0.753471,0.0315815,6.1399300000000006,0.0,0.0,0.0,Hipparcos,SK,Wo9003 HARPS,,0.0824238,0.0,0.0,0.0,,-1.0,10366.9,-43102.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
5,65,24.0,7008.009581999853,226.1502272253856,2018-08-20 ,377,1999-06-13 ,2012-06-23,rj152.953,377,0.0,377.0,109027.0,0.0,0.0,682.0,,0.1404848612679375,6.616804999998875,5.2321295261266325,4.570107230649358,0.0,8.0,25.7455,6.0,37.0,0.498,2000.0,0.02515,0.08726,-0.0009,7.61,0.5799989999999999,6.421,6.149,6.115,G2,V,1705.61,3.04012,0.368,-4.351,7.233210000000001,0.41402,1.23148,52.777,14.6078,37.7045,,,,,0.0,1.0,0.0,0.154196,5872.69,4.2833,0.08,14.6391,1.11523,0.0518304,1.06033,0.0429973,4.61269,0.0,0.0,0.0,Hipparcos,,"Texp=120, whopping H&K",,0.00693385,0.0,0.0,0.0,list2 T12,-1.0,11343.1,1184.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
6,25,6.0,7023.9459259998985,210.21129122562706,2018-09-05 ,531a,1999-06-13 ,2016-01-24,rj222.74,531a,0.0,531.0,0.0,0.0,0.0,0.0,A,0.1642577775319417,8.453150000042385,6.774155655083182,5.633934382033307,0.0,9.0,51.328,8.0,27.0,11.34,2000.0,0.014209999999999999,0.0623,-0.022,9.2,0.900001,0.0,0.0,0.0,G5,,13973.4,18.5498,0.455,-4.519,8.90318,0.49818,1.49591,50.8145,12.939,4.0,,,,,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.962969999999999,0.0,0.0,0.0,SIMBAD,,"Do W!, Texp=120, H&K",,0.00703485,0.0,0.0,0.0,,-1.0,11343.1,,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
7,25,7.0,7002.042041999754,232.11276722559705,2018-08-14 ,531b,1999-06-13 ,2016-01-24,rj222.75,531b,0.0,531.0,0.0,0.0,0.0,0.0,B,0.1643467500474718,8.453169444402057,6.773645170853041,5.635160487608397,0.0,9.0,51.6483,8.0,27.0,11.41,2000.0,0.014209999999999999,0.05625,-0.01126,8.4,0.9,0.0,0.0,0.0,G5,V,15203.9,17.5138,0.426,-4.551,8.81357,0.526301,1.6440700000000001,29.6396,12.022,5.7,,,,,0.0,1.0,0.0,999.0,5707.47,0.0,0.0,7.59817,0.0,0.0,0.0,0.0,4.16297,0.0,0.0,0.0,SIMBAD,,"Do E!, Texp=120, H&K",,0.00530334,0.0,0.0,0.0,,-1.0,11343.1,,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8,21,12.0,6266.991867000237,213.21958622522652,2018-09-02 ,hip1368,2001-07-06 ,2016-01-25,rj222.274,hip1368,0.0,0.0,0.0,14.0,0.0,1368.0,,0.2851040555371178,40.94829527748955,35.372727986529824,22.524995088204623,0.0,17.0,6.3746,40.0,56.0,53.863,2000.0,0.06671,0.56793,0.08277000000000001,8.94,1.42,6.384,5.748,5.576,K7,,2957.0,33.1351,1.733,-4.719,9.20708,3.04215,7.423710000000001,4.53859,3.80968,3.74,,,,,0.0,1.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06095,0.0,0.0,0.0,Hipparcos,,HARPS ,,0.11307400000000001,0.0,0.0,0.0,,-1.0,0.0,,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
9,52,7.0,8001.079224000219,210.23322422523052,2018-09-05 ,1388,1996-10-09 ,2013-11-17,rj184.110,1388,0.0,1388.0,147208.0,0.0,0.0,1444.0, ,0.299686360889011,-13.455640277862551,-14.11164027259764,358.66328801242463,0.0,17.0,58.8709,-13.0,27.0,20.305,2000.0,0.038239999999999996,0.39697,-0.0006,6.5,0.59,5.383,5.065,4.993,G2,V,29019.7,18.3662,0.161,-4.965,9.67685,0.07153630000000001,0.259658,48.9774,3.94664,3.995,,,,,0.0,1.0,0.0,-0.00132989,5951.91,4.4150599999999995,0.08,2.95785,1.08447,0.0513434,1.1149200000000001,0.028167,4.41259,0.0,0.0,0.0,Hipparcos,SK,"Wo9008, liner +30/yr, Once per year! HARPS",,0.09437000000000001,0.0,0.0,0.0,list1 T4,-1.0,10365.9,28498.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
