,Nobs,Nobs_CORAVEL,Nobs_apf,Nobs_j,Nobs_k,Nobs_lick,Nobs_mcdonald,baseline,baseline_CORAVEL,baseline_apf,baseline_j,baseline_k,baseline_lick,baseline_mcdonald,med_err_CORAVEL,med_err_apf,med_err_j,med_err_k,med_err_lick,med_err_mcdonald,name
0,32,,,32.0,,,,1802.9424700001255,,,1802.9424700001255,,,,,,1.338263637631612,,,,144872
1,307,,130.0,131.0,46.0,,,8102.742376000155,,1923.0168269998394,5410.034262000117,2649.6953469999135,,,,0.9342148677473385,0.9510412512020368,1.2060209035750598,,,145675
2,391,,136.0,236.0,19.0,,,8315.952521999832,,2176.922886000015,5425.304511297494,2829.1267939996906,,,,2.463358644299187,0.5230212866823334,1.272150098585245,,,1461
3,133,,21.0,84.0,28.0,,,8274.15161699988,,1885.9776884349994,5206.4698859998025,2870.0039470000193,,,,2.600545228591059,1.132399359849873,1.374215314774989,,,146233
4,155,,26.0,16.0,31.0,82.0,,10183.108636999968,,1885.988799000159,4999.154739739373,2551.957649999764,6937.987654000055,,,2.3640334782791728,1.1988816456034952,1.2442101625380166,4.94913596536435,,149661
5,23,,,12.0,11.0,,,6465.313839999959,,,5130.040355999954,1059.0808680001646,,,,,1.115278742226137,1.483132272797351,,,149724
6,20,,,9.0,11.0,,,6249.945566999726,,,5104.978912000079,977.255324000027,,,,,1.261248512449566,1.4126952998530737,,,150437
7,151,,31.0,98.0,22.0,,,8047.011058541015,,703.0644700000994,5218.899796540849,2577.985694000032,,,,1.6840918458159835,0.9623303113420271,1.1568238929883774,,,151288
8,44,,,14.0,,30.0,,9564.802397999913,,,3422.627863999922,,4453.773170999717,,,,1.5363457482253071,,6.899756163124283,,152391
9,34,,,16.0,18.0,,,8142.708653999958,,,5269.79943000013,2620.735959999729,,,,,1.4288370263841692,2.161254695004831,,,15335
10,25,,,9.0,16.0,,,7156.560467000119,,,4779.965189999901,2208.9328350001015,,,,,1.2773918487049072,1.9789530394160546,,,153458
11,35,,,18.0,17.0,,,8101.775688000023,,,5219.72009800002,2634.8248260002583,,,,,1.1612248988225224,1.640564936913331,,,153557
