,hostname,status,pl_index,per,per_errplus,per_errminus,mass,mass_errplus,mass_errminus,axis,axis_errplus,axis_errminus,tc,tc_errplus,tc_errminus,w,w_errplus,w_errminus,k,k_errplus,k_errminus,e,e_errplus,e_errminus,letter
1,104067,K,1.0,55.828,0.029,0.029,0.203,0.017,0.017,0.2673,0.0032,0.0033,2454834.8,1.6,1.6,0.2,0.33,0.34,12.8,1.0,1.0,0.247,0.08,0.082, b
4,10697,K,1.0,1075.65,0.64,0.64,6.39,0.13,0.13,2.156,0.02,0.02,2452506.8,2.9,3.0,-1.06,0.1,0.11,115.7,1.2,1.1,0.0998,0.0082,0.0082, b
5,107148,K,1.0,77.181,0.023,0.024,0.203,0.014,0.015,0.3668,0.0046,0.0049,2456091.9,2.3,2.2,0.95,0.32,0.53,9.22,0.6,0.64,0.174,0.071,0.075, b
6,107148,C,2.0,18.3267,0.0022,0.0024,0.0626,0.0097,0.0098,0.1407,0.0018,0.0019,2455203.4,1.4,1.3,-0.78,0.67,0.42,4.84,0.85,0.81,0.34,0.13,0.16, c
8,108874,K,1.0,395.38,0.22,0.21,1.32,0.047,0.047,1.052,0.016,0.016,2453527.5,2.7,2.7,0.6,0.12,0.12,37.06,0.71,0.69,0.144,0.016,0.016, b
9,108874,K,2.0,1743.2,9.3,9.5,1.139,0.052,0.05,2.83,0.045,0.045,2454785.0,18.0,18.0,0.08,0.12,0.12,20.05,0.65,0.65,0.265,0.03,0.031, c
12,114729,K,1.0,1132.7,3.5,3.7,0.892,0.053,0.053,2.094,0.022,0.022,2451631.0,17.0,16.0,-0.7,1.6,0.53,18.1,1.0,1.0,0.098,0.048,0.05, b
14,114783,K,1.0,492.56,0.34,0.35,1.033,0.034,0.034,1.164,0.016,0.016,2455283.8,2.7,2.7,-1.23,0.14,0.14,29.48,0.54,0.51,0.126,0.016,0.016, b
15,114783,K,2.0,4340.0,130.0,110.0,0.659,0.046,0.046,4.97,0.12,0.11,2454959.0,90.0,85.0,-0.37,0.5,0.49,9.11,0.56,0.58,0.114,0.058,0.058, c
16,115617,K,1.0,38.0957,0.0083,0.0083,0.0507,0.0035,0.0037,0.2151,0.0028,0.0029,2454922.48,0.69,0.65,-0.4,1.5,0.76,3.27,0.21,0.22,0.068,0.067,0.047, c
17,115617,K,2.0,4.21487,0.00016,0.00016,0.0161,0.0017,0.0016,0.04956,0.00065,0.00067,2455200.7,0.14,0.11,0.3,0.84,1.2,2.17,0.22,0.21,0.099,0.091,0.07, b
19,117176,K,1.0,116.69335,0.00093,0.00097,7.23,0.13,0.13,0.4765,0.0043,0.0044,2455656.682,0.047,0.047,-0.0139,0.0032,0.0031,315.54,0.54,0.53,0.3989,0.0011,0.0012, b
20,117207,K,1.0,2615.0,14.0,14.0,1.87,0.077,0.074,3.744,0.059,0.06,2453356.0,21.0,20.0,1.24,0.25,2.7,27.44,0.73,0.7,0.142,0.027,0.026, b
