,id,name,obs,obstime,run,runnum,expnum,outdir,outdir_mtime,teff,teff_err,radius,radius_err,fe,fe_err,iso_mass,iso_mass_err1,iso_mass_err2,iso_radius,iso_radius_err1,iso_radius_err2,iso_logage,iso_logage_err1,iso_logage_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_fe,iso_fe_err1,iso_fe_err2
1,185144_rj01.168,185144,rj01.168,2004-08-20 10:55,j01,1.0,,/data/user/doppler/public_html/smemp/results/185144_rj01.168,1558692103.92,5241.0,110.0,0.782,0.1,-0.26,0.09,,,,,,,,,,,,,,,,,,
2,185144_rj01.169,185144,rj01.169,2004-08-20 10:56,j01,1.0,,/data/user/doppler/public_html/smemp/results/185144_rj01.169,1558692103.95,5245.0,110.0,0.778,0.1,-0.26,0.09,,,,,,,,,,,,,,,,,,
3,185144_rj01.170,185144,rj01.170,2004-08-20 10:56,j01,1.0,,/data/user/doppler/public_html/smemp/results/185144_rj01.170,1558692103.98,5246.0,110.0,0.796,0.1,-0.26,0.09,,,,,,,,,,,,,,,,,,
4,185144_rj01.171,185144,rj01.171,2004-08-20 10:57,j01,1.0,,/data/user/doppler/public_html/smemp/results/185144_rj01.171,1558692104.01,5239.0,110.0,0.786,0.1,-0.26,0.09,,,,,,,,,,,,,,,,,,
5,185144_rj01.172,185144,rj01.172,2004-08-20 10:58,j01,1.0,,/data/user/doppler/public_html/smemp/results/185144_rj01.172,1558692104.03,5241.0,110.0,0.785,0.1,-0.25,0.09,,,,,,,,,,,,,,,,,,
6,196850_rj01.173,196850,rj01.173,2004-08-20 11:01,j01,1.0,,/data/user/doppler/public_html/smemp/results/196850_rj01.173,1558692104.05,5801.0,110.0,1.111,0.18,-0.09,0.09,,,,,,,,,,,,,,,,,,
7,196850_rj01.174,196850,rj01.174,2004-08-20 11:03,j01,1.0,,/data/user/doppler/public_html/smemp/results/196850_rj01.174,1558692104.08,5805.0,110.0,1.115,0.18,-0.09,0.09,,,,,,,,,,,,,,,,,,
8,196850_rj01.175,196850,rj01.175,2004-08-20 11:04,j01,1.0,,/data/user/doppler/public_html/smemp/results/196850_rj01.175,1558692104.1,5810.0,110.0,1.087,0.18,-0.08,0.09,,,,,,,,,,,,,,,,,,
9,196850_rj01.176,196850,rj01.176,2004-08-20 11:05,j01,1.0,,/data/user/doppler/public_html/smemp/results/196850_rj01.176,1558692104.12,5802.0,110.0,1.112,0.18,-0.09,0.09,,,,,,,,,,,,,,,,,,
10,1461_rj01.178,1461,rj01.178,2004-08-20 11:12,j01,1.0,,/data/user/doppler/public_html/smemp/results/1461_rj01.178,1558692104.14,5476.0,110.0,1.071,0.18,0.22,0.09,,,,,,,,,,,,,,,,,,
11,1461_rj01.179,1461,rj01.179,2004-08-20 11:14,j01,1.0,,/data/user/doppler/public_html/smemp/results/1461_rj01.179,1558692104.16,5495.0,110.0,1.065,0.18,0.22,0.09,,,,,,,,,,,,,,,,,,
12,1461_rj01.180,1461,rj01.180,2004-08-20 11:15,j01,1.0,,/data/user/doppler/public_html/smemp/results/1461_rj01.180,1558692104.18,5479.0,110.0,1.066,0.18,0.22,0.09,,,,,,,,,,,,,,,,,,
13,1461_rj01.181,1461,rj01.181,2004-08-20 11:16,j01,1.0,,/data/user/doppler/public_html/smemp/results/1461_rj01.181,1558692104.2,5463.0,110.0,1.06,0.18,0.22,0.09,,,,,,,,,,,,,,,,,,
14,1461_rj01.182,1461,rj01.182,2004-08-20 11:17,j01,1.0,,/data/user/doppler/public_html/smemp/results/1461_rj01.182,1558692104.22,5427.0,110.0,1.071,0.18,0.21,0.09,,,,,,,,,,,,,,,,,,
15,TRES1_rj01.188,TRES1,rj01.188,2004-08-20 11:39,j01,1.0,,/data/user/doppler/public_html/smemp/results/TRES1_rj01.188,1558692104.24,5239.0,110.0,0.892,0.1,0.09,0.09,,,,,,,,,,,,,,,,,,
16,TRES1_rj01.189,TRES1,rj01.189,2004-08-20 11:48,j01,1.0,,/data/user/doppler/public_html/smemp/results/TRES1_rj01.189,1558692104.26,5233.0,110.0,0.893,0.1,0.1,0.09,,,,,,,,,,,,,,,,,,
17,NARROWFLAT_rj01.308,NARROWFLAT,rj01.308,2004-08-21 04:44,j01,1.0,,/data/user/doppler/public_html/smemp/results/NARROWFLAT_rj01.308,1558692104.28,6694.0,110.0,1.882,0.18,-0.29,0.09,,,,,,,,,,,,,,,,,,
