,curv,dvdt,e1,e2,e3,e4,gamma_apf,gamma_j,gamma_k,gamma_lick,jit_apf,jit_j,jit_k,jit_lick,k1,k2,k3,k4,num_planets,per1,per2,per3,per4,secosw1,secosw2,secosw3,secosw4,sesinw1,sesinw2,sesinw3,sesinw4,star,tc1,tc2,tc3,tc4,tp1,tp2,tp3,tp4,w1,w2,w3,w4
0,9.803269099573348e-06,0.015388606074859512,,,,,,-28.10878557532954,-30.186824321371255,,,2.888815461589773,5.735239568094472,,90.21400783160679,,,,1,8014.818440007057,,,,0.12376973616610858,,,,0.43550546056665057,,,,6558,-367.66909753109354,,,,,,,,,,,
1,-7.355213780330348e-08,-0.001982877982047478,,,,,,0.22875133281056548,-9.13858833945702,,,5.3596582385807725,2.830007646296999,,18.603863927154045,,,,1,828.8894396462475,,,,-0.05649120797791678,,,,-0.26102972964790483,,,,4208,260.54921597875045,,,,,,,,,,,
2,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,9540a,,,,,,,,,,,,
3,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,gl47,,,,,,,,,,,,
4,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,283,,,,,,,,,,,,
5,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,8038,,,,,,,,,,,,
6,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,gl26,,,,,,,,,,,,
7,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,9070,,,,,,,,,,,,
8,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,6872b,,,,,,,,,,,,
9,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,3074a,,,,,,,,,,,,
