,index,hostname,mstar,dvdt,dvdt_med,dvdt_minus,dvdt_plus,curv,curv_med,curv_minus,curv_plus
0,2,100623,0.7478314988,0.00476076925,0.004752251139,0.004472722527,0.005038759743,,,,
1,27,110315,0.7184409937999999,-0.055436456739999994,-0.05544991627,-0.05584394669,-0.055066712079999997,1.85e-06,1.85e-06,1.74e-06,1.97e-06
2,28,110537,0.9956809915000001,0.019294165959999998,0.019364968269999998,0.01886689678,0.01988942416,,,,
3,35,114174,0.9684858862000001,0.1627736777,0.1627844452,0.16221904550000002,0.1633791674,-2.49e-06,-2.5e-06,-2.64e-06,-2.36e-06
4,41,115404a,0.7808335687000001,0.01556533344,0.015573373710000001,0.014550605749999999,0.016632983669999997,,,,
5,77,131156,0.8934943840999999,0.06605105552,0.06599080513,0.06410681164,0.06791495172,2.22e-06,2.21e-06,1.92e-06,2.5e-06
6,88,136925,0.8751036395999999,0.004374512215,0.002611642789,0.001197889158,0.0035983552980000002,1.01e-06,7.58e-07,1.79e-08,1.27e-06
7,90,1388,1.027126423,0.05282326313,0.052787952469999996,0.051839896919999996,0.05370370257999999,-4.2e-06,-4.22e-06,-4.45e-06,-4.01e-06
8,95,140538a,0.9879444145999999,-0.006480238785,-0.006468513979999999,-0.006849513040999999,-0.00608873747,,,,
9,107,145934,1.81269153,-0.05888224031000001,-0.0588949194,-0.059979960670000006,-0.057801126189999996,-2.01e-06,-2.05e-06,-2.38e-06,-1.72e-06
10,108,145958a,0.9114675501999999,-0.01750223398,-0.01750884094,-0.01800521348,-0.01700545133,,,,
11,109,145958b,0.9038011422,0.01627624622,0.01627114217,0.0158947243,0.016639614599999998,4.14e-07,4.15e-07,3.09e-07,5.28e-07
12,112,146362b,1.026355097,0.013907970580000002,0.01393890071,0.01282445414,0.015010685,,,,
13,118,149806,0.9487551818000001,0.005964841169,0.0059745898109999996,0.0055547577590000004,0.006389640457999999,,,,
14,126,153557,0.7945,0.009178433881,0.009233525591,0.007674137115,0.01087800023,,,,
15,133,156668,0.7851670448,-0.0007294906591,-0.00073504935,-0.0008794867243999999,-0.0005960493267,,,,
16,140,159062,0.7912506489,-0.036099217569999995,-0.03610178713,-0.036311318280000004,-0.035900450099999995,1.13e-06,1.14e-06,9.940000000000001e-07,1.29e-06
17,147,163489,2.216370719,-0.005973682236,-0.0059611155229999995,-0.006777016452,-0.005160869701,,,,
18,152,165401,0.8669224995999999,0.1473205084,0.1473369126,0.1463484562,0.14832013019999998,2.64e-06,2.63e-06,2.03e-06,3.22e-06
19,158,168443,1.04243752,-0.007972024432,-0.007951092390000001,-0.008238359179,-0.007661783426,,,,
20,168,17230,0.710519958,-0.005872370567,-0.0058739108360000005,-0.006252856960999999,-0.005496297329,,,,
21,170,173739,0.3346159376,0.01701867115,0.017015230980000004,0.016473508930000002,0.01755431504,,,,
22,171,173740,0.25731172620000003,-0.02088274361,-0.02088367905,-0.0214229944,-0.02034300918,,,,
23,179,179957,0.9372151865999999,-0.006313407343,-0.006317136936,-0.006483867789999999,-0.006147863122,,,,
24,180,179958,0.9690895097,0.005327575206,0.005329530108,0.0051043050189999994,0.005550498955,,,,
25,182,180617,0.49584859670000003,-0.0012293977060000001,-0.001219957408,-0.001581419793,-0.0008676510031000001,,,,
26,183,181234,0.9730397026000001,0.00024559412909999997,0.00046080859360000004,-0.0019206515239999999,0.004676630091,,,,
27,184,18143,0.8331022277,0.010428692659999999,0.01042952711,0.009977808105,0.010869254920000002,,,,
28,185,182488,0.9538466112999999,-0.005392128683,-0.005390035265000001,-0.005737361313,-0.005047552958,-9.49e-07,-9.48e-07,-1.04e-06,-8.6e-07
29,194,186408,1.016946361,-0.004584671177,-0.004586431845999999,-0.004783701825,-0.0043872867950000005,,,,
30,196,187123,1.020233886,-0.001272583573,-0.001286007108,-0.0015010242749999999,-0.00107824254,,,,
31,201,188512,1.365986729,0.002066232505,0.002065681601,0.001833735468,0.002294027671,,,,
32,204,190067,0.7902788893000001,0.011345719640000002,0.01134284564,0.01106793858,0.01161687392,,,,
33,208,191408,0.6397640092,0.008311076867,0.008311418587,0.008105711917,0.008516912046,,,,
34,217,19467,0.9164789112999999,-0.003936507725,-0.003921229492999999,-0.004524446515,-0.003322626413,,,,
35,218,195019,1.049075274,0.0038782498799999994,0.00384581059,0.0032460078840000003,0.0043994305660000005,,,,
36,219,195564,1.121304662,-0.06670069339,-0.09061640024,-0.1093226279,-0.07149693261,-5.65e-06,-5.11e-06,-7.13e-06,-3.34e-06
37,220,196201,0.8575468846,0.22974831510000002,0.2300383354,0.2271808689,0.2329062763,-1.0199999999999999e-05,-1.0300000000000001e-05,-1.11e-05,-9.57e-06
38,229,200968,0.874187562,-0.027192193280000002,-0.027170730160000003,-0.027793247819999995,-0.02656560012,-7.890000000000001e-07,-8.04e-07,-1.03e-06,-5.839999999999999e-07
