# period  BIC_array
1.000000000000000000e+02 2.504479908997467419e+00
1.001987059302070548e+02 2.605722714762919168e-01
1.003982031136151676e+02 2.513854259675383673e+00
1.005984962858452860e+02 3.714127166622461118e+00
1.007995902203840473e+02 3.900789531813586564e+00
1.010014897289628095e+02 3.558531937486179686e+00
1.012041996619414732e+02 2.708058783111340517e+00
1.014077249086969914e+02 2.159909520426765539e+00
1.016120703980163569e+02 1.822008984070748738e+00
1.018172410984945628e+02 1.427326269165632766e+00
1.020232420189373244e+02 8.867636264722591477e-01
1.022300782087685462e+02 4.775408369106912687e-01
1.024377547584430772e+02 4.527895102573893382e-01
1.026462767998641965e+02 5.077735573494237542e-01
1.028556495068063583e+02 1.303509050707816641e+00
1.030658780953431801e+02 3.761049144813142675e+00
1.032769678242804616e+02 2.722250760975498451e+00
1.034889239955948028e+02 2.782694674374937449e+00
1.037017519548775226e+02 5.674080653884630010e-01
1.039154570917839067e+02 -6.069921757543284002e-02
1.041300448404883525e+02 4.965122256675158496e-02
1.043455206801449151e+02 2.377594096345063690e+00
1.045618901353535790e+02 8.123000064652217134e-01
1.047791587766325847e+02 1.051451810761022898e+00
1.049973322208962685e+02 1.223938711313905969e+00
1.052164161319393401e+02 1.207072017785492335e+00
1.054364162209268301e+02 9.047702593605038146e-01
1.056573382468904185e+02 8.180179672791609846e-01
1.058791880172310016e+02 6.532788706402357093e-01
1.061019713882275255e+02 6.252609507241686515e-01
1.063256942655522863e+02 3.272797797728543401e+00
1.065503626047928520e+02 1.225122694000560841e+00
1.067759824119804080e+02 1.323868268683298766e+00
1.070025597441251222e+02 1.652910199787896772e+00
1.072301007097580481e+02 2.166809533848947922e+00
1.074586114694801324e+02 2.891084318693486921e+00
1.076880982365182433e+02 3.221593142746826288e+00
1.079185672772882754e+02 2.724298441515884406e+00
1.081500249119655166e+02 1.822022293618545064e+00
1.083824775150624475e+02 2.717787265268555075e+00
1.086159315160138590e+02 3.165091718560120171e-01
1.088503933997697573e+02 4.200389508724811094e-02
1.090858697073957302e+02 3.281396830952587607e-01
1.093223670366812996e+02 3.599731668884629698e+00
1.095598920427561183e+02 1.437273923423163069e+00
1.097984514387142809e+02 3.812071995493965915e+00
1.100380519962467076e+02 3.611298857347776448e+00
1.102787005462819678e+02 3.389302711777816057e+00
1.105204039796353186e+02 3.017399042193233072e+00
1.107631692476665961e+02 3.059081213791614573e+00
1.110070033629465343e+02 9.811272779237754094e-01
1.112519133999319934e+02 5.251540549946867031e+00
1.114979064956501702e+02 4.964374805343197750e+00
1.117449898503919457e+02 1.274679508762574187e+00
1.119931707284142846e+02 8.237049901933630736e-01
1.122424564586522848e+02 6.813491503332329557e-01
1.124928544354405489e+02 3.423125018932864805e+00
1.127443721192442752e+02 3.539497803678557375e-01
1.129970170374002834e+02 4.335377895131841797e+00
1.132507967848678732e+02 6.026303544429765680e+00
1.135057190249899861e+02 5.516170192568353059e+00
1.137617914902644998e+02 8.144380187902129364e-01
1.140190219831260663e+02 4.312437908975823575e-01
1.142774183767387370e+02 3.595159076572258527e-01
1.145369886157989612e+02 4.618630782304364857e-01
1.147977407173501376e+02 1.862541107265457185e+00
1.150596827716078110e+02 4.347862000326642828e+00
1.153228229427964209e+02 6.164742818180627637e+00
1.155871694699975620e+02 5.855029027235957528e+00
1.158527306680099684e+02 3.136868083860264278e+00
1.161195149282211361e+02 2.515526157172359945e+00
1.163875307194913518e+02 4.293671677614838700e+00
1.166567865890498439e+02 1.793580665319723266e+00
1.169272911634032397e+02 1.904931463850374485e+00
1.171990531492570398e+02 2.557877455600134908e+00
1.174720813344496122e+02 3.953633705503563078e+00
1.177463845888995593e+02 4.814580845849036450e+00
1.180219718655662291e+02 4.728477597529831655e+00
1.182988522014237276e+02 4.459595074379535617e+00
1.185770347184488713e+02 7.759765305450088135e+00
1.188565286246227828e+02 7.694997410581805752e+00
1.191373432149470375e+02 6.046289080881280142e+00
1.194194878724740647e+02 4.219749038272425423e+00
1.197029720693520858e+02 1.572432245037873599e-01
1.199878053678853718e+02 1.098385118143710315e+00
1.202739974216092662e+02 6.214900621190395213e+00
1.205615579763808256e+02 1.024206679447291890e+01
1.208504968714851771e+02 1.345431295882337963e+01
1.211408240407577210e+02 1.535001561836730843e+01
1.214325495137225062e+02 1.843828803829907770e+01
1.217256834167473727e+02 1.224428968537040419e+01
1.220202359742154243e+02 2.281600926518876804e+00
1.223162175097140363e+02 1.239594789487341586e-01
1.226136384472407883e+02 6.938217928462165673e+00
1.229125093124272752e+02 1.057600800013005937e+01
1.232128407337808369e+02 1.220445745917353975e+01
1.235146434439444079e+02 1.364270701504739236e+01
1.238179282809751243e+02 1.592139401013898237e+01
1.241227061896416899e+02 9.681663482536890797e+00
1.244289882227408128e+02 2.790771494063505997e+00
1.247367855424335943e+02 6.232253497014141885e-01
1.250461094216014004e+02 7.694167323046713136e+00
1.253569712452220131e+02 4.296041890247920492e+00
1.256693825117666847e+02 4.960168669033919286e+00
1.259833548346177139e+02 5.054944371537828829e+00
1.262988999435075073e+02 4.128119829788687412e+00
1.266160296859794840e+02 2.053109557803225016e+00
1.269347560288707228e+02 6.353456588776396075e-01
1.272550910598172464e+02 1.678384163398476403e+00
1.275770469887822429e+02 3.100546106010966696e+00
1.279006361496072657e+02 5.154050544032827474e+00
1.282258710015874215e+02 6.527179843207193244e+00
1.285527641310704325e+02 6.704059675987224409e+00
1.288813282530801700e+02 5.547775808473033976e+00
1.292115762129655252e+02 3.727748284238487031e+00
1.295435209880742207e+02 1.983894558710176170e+00
1.298771756894527414e+02 1.411915354555731028e+00
1.302125535635726976e+02 1.640552227919783945e+00
1.305496679940835918e+02 5.924249087184421114e+00
1.308885325035935807e+02 4.161481279337635897e+00
1.312291607554771815e+02 5.178166914380028629e+00
1.315715665557120246e+02 4.728440590249761044e+00
1.319157638547440570e+02 3.914265817610043996e+00
1.322617667493821330e+02 3.927921270544914023e+00
1.326095894847225622e+02 5.335840811339068068e+00
1.329592464561041822e+02 7.154312728511968089e+00
1.333107522110940977e+02 8.740940839637545423e+00
1.336641214515055651e+02 1.006002937794238505e+01
1.340193690354475962e+02 1.010922840263492617e+01
1.343765099794073308e+02 8.443750752270489102e+00
1.347355594603662894e+02 5.921013351171126260e+00
1.350965328179499068e+02 3.142767417949556830e+00
1.354594455566124225e+02 2.918625604780402227e+00
1.358243133478565596e+02 4.308514270933301304e+00
1.361911520324894695e+02 5.868571302288216884e+00
1.365599776229151416e+02 6.565683903525155074e+00
1.369308063054644435e+02 6.069809815192286351e+00
1.373036544427628201e+02 8.921262853487746725e+00
1.376785385761372140e+02 3.089232110092723360e+00
1.380554754280620671e+02 1.050261598988072365e+00
1.384344819046461623e+02 9.723037863603565256e-01
1.388155750981599681e+02 3.534962390011230582e+00
1.391987722896052730e+02 6.483913449777389815e+00
1.395840909513272834e+02 7.385953313287870969e+00
1.399715487496703190e+02 7.232267247817873113e+00
1.403611635476776769e+02 6.194102411904111705e+00
1.407529534078371682e+02 4.355278378074217471e+00
1.411469365948720736e+02 2.080599583940795583e+00
1.415431315785797892e+02 3.067368549868092487e-01
1.419415570367179669e+02 6.981282940313917607e-01
1.423422318579396801e+02 2.169424145442235385e+00
1.427451751447785000e+02 3.243394308532799641e+00
1.431504062166843596e+02 3.430119935275428134e+00
1.435579446131112036e+02 3.038668348515614070e+00
