# period  BIC_array
1.000000000000000000e+03 4.871298360079154577e+01
1.026142102775682815e+03 4.866956283382862125e+01
1.053687715323134398e+03 4.858819689243159701e+01
1.082752982261602256e+03 4.845251911765888053e+01
1.113467226818189374e+03 4.835501240605159978e+01
1.145974874573483248e+03 4.823975762633281761e+01
1.180437724323468501e+03 4.807300337257672140e+01
1.217037641395021637e+03 4.796169638939832680e+01
1.255979768037113445e+03 4.784010916342529640e+01
1.297496370531830280e+03 4.773534329522505004e+01
1.341851475389744792e+03 4.767123850693477038e+01
1.389346490137864066e+03 4.762551346732496427e+01
1.440327061600098659e+03 4.757793624539695543e+01
1.495191501637211559e+03 4.757839797139516236e+01
1.554401214846963057e+03 4.759891048882587938e+01
1.618493706051024219e+03 4.759493184075031991e+01
1.688098944196136472e+03 4.764440585075908530e+01
1.763960138502880682e+03 4.761423101364522381e+01
1.846960380139387553e+03 4.736922212526627618e+01
1.938157176761603978e+03 4.733303677989457015e+01
2.038827749685175377e+03 4.729912413436792917e+01
2.150529221263019281e+03 4.740633289515022852e+01
2.275179734005835144e+03 4.754007773294293315e+01
2.415169516826074869e+03 4.760913201707128906e+01
2.573515642399966509e+03 4.799181653252560409e+01
2.754081934231839568e+03 4.841651799257888911e+01
2.961898435716644144e+03 4.908809737722984323e+01
3.203637322302353368e+03 6.273911757836660286e+01
3.488342577758865900e+03 7.281419628590543880e+01
3.828586695119860451e+03 6.907673170504105542e+01
4.242377469839298101e+03 6.340614343899866867e+01
4.756451136558229337e+03 6.157020649271282764e+01
5.412289932284440511e+03 6.058418839842440207e+01
6.277914238187569936e+03 5.961859353597361633e+01
7.473145117586031120e+03 4.752574821711897357e+01
9.230510898658934821e+03 4.752897785992914237e+01
1.206851129022399073e+04 4.730540515605233054e+01
1.742641249809133660e+04 4.739255770629691256e+01
3.134005007000174373e+04 4.728957132103400340e+01
