observation_id,time,bjd,mnvel,errvel,tel,svalue,svalue_err,trv,trv_err
k85.44,2004-05-28 07:25:54.137,2453153.80965436,-403.865196669529,3.03390073776245,k,,,,
k81.782,2004-01-12 14:40:31.354,2453017.11147401,-390.270435774753,2.83568239212036,k,,,,
k81.197,2004-01-10 14:34:16.327,2453015.10713341,-394.544464552829,3.09834790229797,k,,,,
k74.425,2003-06-15 06:42:20.654,2452805.77940572,-393.023346388767,2.87566995620728,k,,,,
k70.307,2003-01-14 11:52:48.392,2452653.99500454,-378.921204054783,3.40886116027832,k,,,,
k69.148,2002-11-22 15:32:21.278,2452601.1474685,-375.875637495945,3.25358271598816,k,,,,
k60.115,2002-02-02 11:33:35.211,2452307.98165754,-380.092110121677,3.35083436965942,k,,,,
k54.1021,2001-07-10 05:58:38.311,2452100.74905453,-362.825634444187,3.51936864852905,k,,,,
k54.622,2001-07-08 06:28:35.364,2452098.76985375,-358.891972029636,3.58709788322449,k,,,,
k53.337,2001-06-04 07:56:50.695,2452064.8311423,-382.762020552585,3.17985606193542,k,,,,
k48.134,2001-03-04 12:51:37.183,2451973.03584703,-346.098965132663,3.83810138702393,k,,,,
k47.148,2000-12-19 15:34:56.277,2451898.14926247,-350.620907271335,3.81617116928101,k,,,,
k41.609,2000-06-11 07:43:08.803,2451706.82162967,-327.154766524265,3.25404620170593,k,,,,
k39.85,2000-02-06 12:14:30.820,2451581.01007894,-332.056301558445,3.04979038238525,k,,,,
k38.247,2000-01-08 14:45:50.106,2451552.11516326,-315.30816313071,3.38486075401306,k,,,,
k30.123,1999-05-13 08:21:50.096,2451311.84849648,-292.980007613132,10.0213918685913,k,,,,
k30.122,1999-05-13 08:11:54.165,2451311.84159913,-255.715053999851,9.12607192993164,k,,,,
k30.19,1999-05-12 06:55:40.600,2451310.78866435,-256.367504561374,2.90953588485718,k,,,,
k29.204,1999-02-18 12:11:05.639,2451228.00770415,-230.786114180515,3.21456432342529,k,,,,
k27.131,1998-12-23 16:00:52.509,2451171.16727441,-193.761761153171,3.59518146514893,k,,,,
j91.121,2010-05-26 08:45:05.476,2455342.86464671,-279.18648324493904,2.54335594177246,j,0.157,0.001,24.51,0.1
j81.1482,2009-12-27 15:52:52.604,2455193.16171995,-286.972515871038,2.25853848457336,j,0.156,0.001,,
j81.679,2009-12-24 13:20:53.284,2455190.05617227,-296.48050715433504,2.26723217964172,j,0.157,0.001,24.6,0.1
j72.706,2009-07-04 06:09:17.901,2455016.75645719,-308.562462183663,2.85106468200684,j,0.157,0.001,24.34,0.1
j67.1011,2009-04-13 09:20:14.102,2454934.88905211,-313.99741744841504,3.44675636291504,j,0.159,0.001,24.59,0.1
j316.453,2019-01-08 10:48:03.777,2458491.95004371,-160.36282580813702,2.58579802513123,j,0.1592,0.001,24.92,0.1
j308.351,2018-11-04 14:52:52.021,2458427.12004654,-105.81251318392633,3.4494297504425,j,0.1613,0.001,24.82,0.1
j28.607,2007-01-30 12:54:41.397,2454131.03797913,-369.808949410585,2.54028034210205,j,0.159,0.001,24.54,0.1
j250.295,2017-01-22 09:52:53.521,2457775.91173057,5247.355043404286,2.58619332313538,j,0.1581,0.001,30.42,0.1
j202.1770,2015-07-12 05:50:50.283,2457215.74363753,398.89689358551095,3.99455952644348,j,0.1592,0.001,25.48,0.1
j185.853,2013-12-13 12:35:19.238,2456640.02452822,23.93594355177708,3.556715965271,j,0.157,0.001,25.03,0.1
j18.193,2006-04-12 09:25:58.121,2453837.89303381,-379.51267704360305,3.41318774223328,j,0.158,0.001,24.47,0.1
j18.192,2006-04-12 09:15:15.176,2453837.88559231,-378.116996807512,2.22144174575806,j,0.157,0.001,24.49,0.1
j15.1297,2006-01-14 10:32:00.642,2453749.93889632,-403.79107916255305,2.41594982147217,j,0.158,0.001,24.48,0.1
j150.693,2012-05-29 06:28:22.455,2456076.76970434,-165.57837407192602,2.48576331138611,j,0.159,0.001,24.75,0.1
j138.678,2011-12-08 15:21:09.526,2455904.13969359,-193.26423345491702,2.34587264060974,j,0.157,0.001,24.7,0.1
j13.269,2005-11-18 15:29:30.021,2453693.14548635,-386.740405747875,2.09872364997864,j,0.157,0.001,,
j124.286,2011-06-22 06:43:15.595,2455734.78004161,-213.34130287818502,2.33561420440674,j,0.157,0.001,24.76,0.1
j106.328,2010-11-21 15:27:53.812,2455522.14437282,-248.44009807453503,2.48163557052612,j,0.157,0.001,24.52,0.1
j09.109,2005-07-19 05:43:32.608,2453570.73857185,-387.596874625704,2.62831115722656,j,0.1579,0.001,,
j08.130,2005-06-25 06:35:40.772,2453546.77477745,-389.57546280179605,2.08249306678772,j,0.157,0.001,24.59,0.1
j07.764,2005-04-20 08:36:51.555,2453480.85893003,-395.239437525786,1.89517045021057,j,0.1579,0.001,24.64,0.1
j05.185,2005-01-27 11:53:50.530,2453397.99572373,-413.34621167062403,2.0350661277771,j,0.157,0.001,24.69,0.1
