,jd,mnvel,errvel,tel
0,2453723.6949595576,-4015.359514404485,0.8361759227297072,j
1,2454130.735671,-3285.2084285921837,1.4961875221332932,j
2,2454398.875116,-2568.492458392326,1.3078992292092542,j
3,2455415.132172,-1095.3615260631314,1.4958876325290609,j
4,2456149.0725950003,-408.19471365522696,1.314048031960946,j
5,2456842.125884,164.07767405873838,1.5530632683928525,j
6,2456843.130905,151.5017381504499,1.8279277218988197,j
7,2456844.118911,119.06266650289658,1.5363750915750916,j
8,2456846.1223580004,124.56913217996305,1.4097901383352942,j
9,2456847.1256,117.57671924635427,1.500163051326519,j
10,2456849.127409,126.64961753635734,1.5067377531422896,j
11,2456861.091608,138.93439822461784,1.6119599218329124,j
12,2456889.131,193.3524571714888,1.3876109942170525,j
13,2456908.074964,176.1846409340493,1.4680869979761888,j
14,2456909.043403,199.9340761195987,1.3772525982717454,j
15,2456910.029089,210.79729452547429,1.351571022986804,j
16,2457240.119686,433.80601383411033,1.2568123717228123,j
17,2457414.82937,563.2764670449973,1.3618751148105928,j
18,2457580.129579,705.1891392737888,1.2620199325421908,j
19,2457654.147304,780.3035807611095,1.7127668653860368,j
20,2457703.858179,823.6086696978917,1.7288189176951825,j
21,2457716.859179,829.052646469789,1.585332541354469,j
22,2457747.7053610003,830.5130496189197,1.530912034782837,j
23,2457763.807889,852.1974900583916,1.6235616925661922,j
24,2457806.7306689997,895.5120601416048,1.5104935046554415,j
25,2457830.7166110002,914.4668541333334,1.5759747772133716,j
26,2457945.130715,985.4768622061839,1.3044966338324238,j
27,2457994.0255360003,1046.6180638836174,1.4708513574668964,j
28,2458112.696352,1152.1689711416866,1.5484973299217666,j
29,2458395.987443,1358.8788958296816,1.486111980909416,j
30,2458509.7701689997,1413.1020978050506,1.5145161301970609,j
31,2445616.561,1020.0,330.0,CORAVEL
32,2445675.406,1610.0,330.0,CORAVEL
33,2445969.599,1420.0,340.0,CORAVEL
34,2446403.4,1770.0,310.0,CORAVEL
35,2446729.531,2280.0,350.0,CORAVEL
36,2447403.625,2460.0,300.0,CORAVEL
37,2447534.297,2810.0,300.0,CORAVEL
38,2447856.433,1510.0,330.0,CORAVEL
39,2448120.654,-2630.0,320.0,CORAVEL
40,2448125.644,-3110.0,310.0,CORAVEL
41,2448139.651,-2570.0,320.0,CORAVEL
42,2448228.495,-3420.0,310.0,CORAVEL
43,2448296.263,-3270.0,300.0,CORAVEL
44,2448327.308,-3040.0,320.0,CORAVEL
45,2448474.63,-2580.0,320.0,CORAVEL
46,2448566.506,-2100.0,320.0,CORAVEL
47,2448853.64,-1910.0,320.0,CORAVEL
48,2449014.34,-1430.0,330.0,CORAVEL
49,2449220.638,-1210.0,310.0,CORAVEL
50,2449745.313,-200.0,350.0,CORAVEL
51,2449927.606,-90.0,320.0,CORAVEL
52,2450340.634,90.0,330.0,CORAVEL
53,2450825.293,440.0,300.0,CORAVEL
54,2450868.279,430.0,370.0,CORAVEL
55,2451197.278,800.0,310.0,CORAVEL
56,2451208.325,1590.0,340.0,CORAVEL
