# period  BIC_array
1.000000000000000000e+02 1.008391579285944317e+01
1.001380726374760286e+02 9.694669449358116253e+00
1.002765270831891513e+02 1.087975641093771628e+01
1.004153649230368757e+02 1.304394870747864843e+01
1.005545877517118498e+02 1.462992050564844249e+01
1.006941971727630261e+02 1.420610929872418637e+01
1.008341947986571512e+02 1.131953393758431048e+01
1.009745822508408821e+02 6.819847869011027797e+00
1.011153611598033280e+02 2.605898370498834993e+00
1.012565331651392313e+02 7.658759980140530388e-01
1.013980999156126472e+02 2.316432393593458983e+00
1.015400630692210342e+02 6.487003408594773646e+00
1.016824242932600413e+02 1.114047976054825995e+01
1.018251852643888071e+02 1.434051624048743179e+01
1.019683476686956993e+02 1.543642216918942722e+01
1.021119132017648212e+02 1.537772536417105584e+01
1.022558835687427887e+02 1.561141350709340259e+01
1.024002604844063882e+02 1.655954055356824028e+01
1.025450456732305611e+02 1.712296317332766193e+01
1.026902408694571420e+02 1.607609620558469032e+01
1.028358478171639803e+02 1.307191133873766375e+01
1.029818682703349282e+02 9.177441298025769356e+00
1.031283039929301424e+02 5.934589351196336793e+00
1.032751567589572232e+02 4.571489451028355688e+00
1.034224283525426955e+02 5.442477207066986011e+00
1.035701205680044410e+02 7.718334925017188652e+00
1.037182352099244724e+02 9.808110577283059683e+00
1.038667740932224319e+02 1.036730822565004928e+01
1.040157390432297433e+02 8.974357647166470997e+00
1.041651318957643895e+02 6.149819610016493243e+00
1.043149544972062870e+02 2.991774492864351487e+00
1.044652087045734277e+02 7.308294501708587632e-01
1.046158963855985036e+02 8.698450024439807748e-02
1.047670194188063704e+02 8.018088195758537040e-01
1.049185796935920933e+02 1.938400151740097499e+00
1.050705791102997324e+02 2.640354209435827215e+00
1.052230195803015960e+02 2.578832782031440729e+00
1.053759030260785750e+02 1.968040492324234947e+00
1.055292313813008604e+02 1.364803195405784209e+00
1.056830065909094856e+02 1.222062640399144584e+00
1.058372306111984642e+02 1.563806498429585190e+00
1.059919054098979387e+02 2.017062429738416540e+00
1.061470329662577115e+02 2.282106423032928433e+00
1.063026152711317991e+02 2.302193677342984302e+00
1.064586543270633854e+02 2.230239715582683857e+00
1.066151521483710241e+02 2.373380801650910144e+00
1.067721107612350835e+02 2.978222668592025002e+00
1.069295322037853424e+02 3.892259028185435454e+00
1.070874185261890403e+02 4.577988281846046448e+00
1.072457717907401076e+02 4.534982504052550212e+00
1.074045940719487646e+02 3.663212874885630299e+00
1.075638874566322016e+02 2.333964608614223835e+00
1.077236540440059400e+02 1.245697589680275996e+00
1.078838959457760609e+02 1.068932086716358754e+00
1.080446152862323004e+02 1.948913306911890686e+00
1.082058142023418270e+02 3.367504565920171444e+00
1.083674948438439714e+02 4.513698301607746544e+00
1.085296593733458650e+02 4.789964900053746533e+00
1.086923099664187902e+02 4.085650353226810694e+00
1.088554488116955099e+02 2.797433826550786762e+00
1.090190781109683655e+02 1.571107163574197330e+00
1.091832000792884543e+02 8.792934830125886947e-01
1.093478169450654889e+02 7.591294531666790135e-01
1.095129309501686947e+02 9.780226367774957907e-01
1.096785443500285169e+02 1.313150198579023709e+00
1.098446594137393930e+02 1.680132093407337379e+00
1.100112784241633790e+02 2.108483351866198063e+00
1.101784036780347122e+02 2.602060173654081154e+00
1.103460374860652564e+02 3.025825383061601315e+00
1.105141821730511680e+02 3.168541547634958988e+00
1.106828400779802308e+02 2.903067670624750463e+00
1.108520135541403846e+02 2.282340632420527982e+00
1.110217049692290914e+02 1.575608511277096113e+00
1.111919167054639104e+02 1.219782978513194394e+00
1.113626511596938968e+02 1.550719718849904893e+00
1.115339107435121235e+02 2.501488389302721771e+00
1.117056978833692824e+02 3.599612080816314119e+00
1.118780150206881245e+02 4.329379136110674153e+00
1.120508646119793070e+02 4.375202220582650625e+00
1.122242491289580499e+02 3.743168276771939418e+00
1.123981710586618874e+02 2.738881989795572736e+00
1.125726329035696835e+02 1.751463111685552576e+00
1.127476371817216148e+02 1.120685448223412095e+00
1.129231864268402887e+02 6.179869225206857664e-01
1.130992831884531284e+02 2.219346317288000137e-01
1.132759300320155944e+02 -1.905521914977725828e-03
1.134531295390359986e+02 2.745476432664872846e-02
1.136308843072011285e+02 6.167522420200839406e-01
1.138091969505031642e+02 1.603561383848955302e+00
1.139880700993679312e+02 2.623396882193901547e+00
1.141675064007841200e+02 3.091082976832240092e+00
1.143475085184339690e+02 2.733578736090748862e+00
1.145280791328249848e+02 1.734471920293799485e+00
1.147092209414229842e+02 6.350471602850120689e-01
1.148909366587865435e+02 7.117964689541622647e-02
1.150732290167024843e+02 4.641984186400804901e-01
1.152561007643227811e+02 1.734448052602147072e+00
1.154395546683027902e+02 3.258605277456808835e+00
1.156235935129407864e+02 4.308908830164909887e+00
1.158082201003188061e+02 4.507937262931591249e+00
1.159934372504448277e+02 3.952907952926580037e+00
1.161792478013963859e+02 3.017367314968851133e+00
1.163656546094655084e+02 2.074276283370181773e+00
1.165526605493051591e+02 1.349752146129048924e+00
1.167402685140768170e+02 8.992911628138244851e-01
1.169284814155999328e+02 6.716652933596378716e-01
1.171173021845023641e+02 6.307453136455478671e-01
1.173067337703725741e+02 8.123833680415373237e-01
1.174967791419132936e+02 1.217674786731549830e+00
1.176874412870963624e+02 2.165993589987920132e+00
1.178787232133196028e+02 2.653857946899734088e+00
1.180706279475648159e+02 2.603713302161850152e+00
1.182631585365574409e+02 1.979623833692130574e+00
1.184563180469277910e+02 1.116615521021230961e+00
1.186501095653739242e+02 4.906989513360713318e-01
1.188445361988260345e+02 4.790114774032190326e-01
1.190396010746125199e+02 1.187490974980391911e+00
1.192353073406275428e+02 2.332447104462517018e+00
1.194316581655005365e+02 3.308204119844504021e+00
1.196286567387671198e+02 3.607891760785605584e+00
1.198263062710418154e+02 3.211184576816322078e+00
1.200246099941924172e+02 2.410360460180527298e+00
1.202235711615162472e+02 1.467875632610230241e+00
1.204231930479180050e+02 6.595303769104248204e-01
1.206234789500894919e+02 2.299473651469270408e-01
1.208244321866909985e+02 1.000647643209049420e-01
1.210260560985347240e+02 2.479475315990384843e-01
1.212283540487698303e+02 7.621562966583041998e-01
1.214313294230695135e+02 1.875695628305493301e+00
1.216349856298197381e+02 3.298710545082030876e+00
1.218393261003102168e+02 4.413441422458163288e+00
1.220443542889269537e+02 4.901076444907630503e+00
1.222500736733470177e+02 4.827249546178336459e+00
1.224564877547350648e+02 4.365426167378245736e+00
1.226636000579420340e+02 3.914997798302465526e+00
1.228714141317058193e+02 4.020379548315759166e+00
1.230799335488538873e+02 4.951052821380017122e+00
1.232891619065079993e+02 6.393490057590497599e+00
1.234991028262912067e+02 7.494817237841743918e+00
1.237097599545366648e+02 7.243797079508112802e+00
1.239211369624988635e+02 5.264193509120559611e+00
1.241332375465666900e+02 2.452421548109214200e+00
1.243460654284792071e+02 4.181080892603858956e-01
1.245596243555430505e+02 1.899562705625612580e-01
1.247739181008525833e+02 1.598311532395200629e+00
1.249889504635119408e+02 3.725910717304032005e+00
1.252047252688596046e+02 5.396852786385352374e+00
1.254212463686952788e+02 5.615309732644163887e+00
1.256385176415090683e+02 4.267857021209692903e+00
1.258565429927129742e+02 2.221345751416265557e+00
1.260753263548750596e+02 7.409842175998164748e-01
1.262948716879557622e+02 3.910619870362097572e-01
1.265151829795468359e+02 1.008698341272975085e+00
1.267362642451128778e+02 1.969713152187523519e+00
1.269581195282350592e+02 3.015814754983694002e+00
1.271807529008579252e+02 4.427894198569447326e+00
1.274041684635383831e+02 6.833896167262537347e+00
1.276283703456973626e+02 1.038210200579942466e+01
1.278533627058744742e+02 1.409904181093224906e+01
1.280791497319848986e+02 1.636592510097216291e+01
1.283057356415794175e+02 1.605378820797977824e+01
1.285331246821067737e+02 1.308060593321442866e+01
1.287613211311793577e+02 8.479794209006286110e+00
1.289903292968412813e+02 4.205713419807125319e+00
