,jd,mnvel,errvel,tel
0,2456849.746273,-276.4818660546801,1.2095795854837035,j
1,2456850.766911,-270.32597330327735,1.1972060651475231,j
2,2456889.729462,-303.5550396257943,1.1401708406132092,j
3,2456890.728611,-304.48680367985133,1.283694028577414,j
4,2456894.726592,-304.736725234762,1.2572451406118823,j
5,2456910.719018,-309.9203879628292,1.5528559844348022,j
6,2456912.709796,-312.6029758299051,1.3603525697861938,j
7,2456913.70959,-314.0781102874158,1.3802322712529134,j
8,2457062.163891,-421.939841898125,1.3582922768999048,j
9,2457423.134012,-722.2500953517012,1.3073572320696358,j
10,2457765.178208,-1375.9831753456117,1.3607645618872248,j
11,2457909.962076,-242.82365363555098,1.183870830255558,j
12,2457964.745819,207.24541511589425,1.249523232997892,j
13,2457971.738058,232.999462744971,1.206417393471595,j
14,2457988.728323,289.1455665058964,1.3165240195643764,j
15,2457993.749539,300.93539792207315,1.2498859047732853,j
16,2457994.780938,305.28882319302295,1.4002927915521124,j
17,2457999.720226,310.49790632054163,1.435584320304456,j
18,2458000.714664,310.3748890940305,1.5246629713051345,j
19,2458002.719631,317.13451691783973,1.203147779024392,j
20,2458018.705461,352.20990010239586,1.4954134974104463,j
21,2458151.096652,383.5339014098066,1.6104191249711195,j
22,2458161.137472,376.5892436762389,1.3744387664568838,j
23,2458199.943245,363.59351498971574,1.4575814676076084,j
24,2458267.045834,332.64263081587524,1.245868366200235,j
25,2458327.741947,313.67833061806203,1.300856358292649,j
26,2458329.732619,307.89355487845023,1.2676238588264344,j
27,2458491.17344,222.01784402138418,1.4419101690443226,j
28,2458492.171749,218.9766549753916,1.2266074989885023,j
