,jd,mnvel,errvel,tel
0,2453425.155035,-1823.1516146116646,6.735996172933845,j
1,2453483.899225,3359.7198860733142,5.1235391634816105,j
2,2453777.089745,2634.019450030563,4.605546486747866,j
3,2453838.026007,6463.680191999609,5.528844356401057,j
4,2453931.798056,11928.10153443547,7.320398120335158,j
5,2453960.734699,11476.049609254927,6.480856186681176,j
6,2454130.156563,5319.773605100454,6.262482624139419,j
7,2454634.849734,-6313.505260491646,3.96481833250542,j
8,2454635.867014,-6096.06027454422,3.5862898057652655,j
9,2454636.80353,-5901.538232543598,3.6254723701482487,j
10,2454637.873727,-5697.669233266113,3.2888834348227443,j
11,2454638.933495,-5502.711527816405,3.4032403494113423,j
12,2454639.901632,-5317.896201737181,3.783230045815573,j
13,2454641.879271,-4954.912466285516,4.566749850834673,j
14,2454643.870891,-4589.498848771793,5.259804654241739,j
15,2454688.763356,1582.8028933798112,6.01188511846463,j
16,2454689.763299,1686.8103648134627,6.024921926517332,j
17,2455319.945236,2561.8542789272633,4.649657127883602,j
18,2455380.782645,6409.070194521025,5.026319831994794,j
19,2455439.725599,9789.046896708956,5.661600948323666,j
20,2455608.056925,789.8172334991696,6.078188326855016,j
21,2455636.063347,2887.089415672358,4.6743777908479,j
22,2455671.874762,5336.650792509198,5.169594933695799,j
23,2455673.917163,5448.7544757180085,4.803252209651515,j
24,2455704.829486,7323.721430924624,5.91763562866706,j
25,2455794.743024,12365.738238013713,6.790202758421117,j
26,2455961.113516,3784.7683552739354,5.079947048357736,j
27,2456073.846545,10801.097011918746,6.057951319822546,j
28,2456145.756552,-22985.13667309411,6.845774164992172,j
29,2456173.718314,-7735.324498682178,6.250007706703808,j
30,2456179.713459,-6179.432852868073,3.8140984559886166,j
31,2456449.86023,-21679.805476305206,5.454446916547582,j
32,2456473.782648,-10747.13233314258,6.702265276175256,j
33,2456826.834022,-1236.0441228399159,5.7760211964889185,j
34,2457210.816594,4788.470462299016,6.311183972199098,j
35,2449114.8987,-7499.65771484375,43.4281398855001,lick
36,2449200.6853,-1720.69677734375,37.30308421295747,lick
37,2449351.0868,-30627.359375,56.00623665163663,lick
38,2449464.9176,-4532.427734375,36.51076575092379,lick
39,2449469.91,-4457.2568359375,31.97537601839556,lick
