,jd,mnvel,errvel,tel
0,2450602.093113,275.4448134236606,1.8436920488191324,k
1,2450603.108356,291.13039081623873,1.8190479856230162,k
2,2450604.118067,281.4552809529575,1.9753387832531293,k
3,2450605.110104,279.7487685017856,1.9404944293479203,k
4,2450606.111285,258.82841938069186,1.8850069553467972,k
5,2450607.084502,232.35637348225436,1.7863215548218616,k
6,2450609.116366,142.53914325764498,1.8457731546824243,k
7,2450666.050324,283.18901508381686,1.8506712719773346,k
8,2450690.00713,-171.16343242594877,2.0296454837975233,k
9,2450715.964711,142.58757465412936,1.8414674650463747,k
10,2450785.704363,310.52360981037936,2.8174956552902177,k
11,2450983.045822,-119.05946666667143,1.9141036372749,k
12,2450984.093889,-140.07455760905424,1.9958035965162095,k
13,2451010.044572,-99.64013225505033,1.5822913910007947,k
14,2451011.1017937423,-81.35075214607633,1.3013122242736244,k
15,2451011.9123792425,-57.22663315264159,1.1000075400392475,k
16,2451013.089051,-28.191111869308145,1.747311786521804,k
17,2451013.7466590386,-4.436791686277275,1.3353218444762067,k
18,2451043.020451,-99.61263591715971,1.839099248694275,k
19,2451044.00022,-125.51618511149564,1.7175386105939554,k
20,2451050.927836,-169.9316514200894,1.8698179032341293,k
21,2451052.003021,-154.86167461344877,2.1573229737215547,k
22,2451068.876551,-144.3556550211636,1.8377962240275096,k
23,2451069.984051,-117.35174877116361,1.7991116189780079,k
24,2451070.965937,-111.36160594889799,1.8490387370667043,k
25,2451071.877824,-82.06598216960111,1.8659465305374785,k
26,2451072.938484,-69.8060067362515,1.8370251109788895,k
27,2451170.703762,-140.71168834635893,2.3543691881775897,k
28,2451171.691713,-154.31986553141752,2.120316591279516,k
29,2451172.702523,-135.44313365885893,1.9316832853920822,k
30,2451173.701481,-133.40663463542143,2.214235223004416,k
31,2451312.127269,-157.1554063029019,1.7238419572613533,k
32,2451313.117234,-155.1068223185269,1.8681670307116158,k
33,2451343.040741,13.659001045730918,1.9287133634536917,k
34,2451368.001065,-201.9262803263394,2.136975472863582,k
35,2451369.001829,-211.68647319743314,2.043884287694116,k
36,2451370.059514,-194.9072373575894,1.7185055166215664,k
37,2451372.058576,-176.15290386149564,2.9462114793120735,k
38,2451409.986701,-105.53863841960111,1.8574121048081964,k
