date,observation_id,tel,jd,mnvel,errvel,cts,mdchi,bc,svalue,svalue_err,trv,trv_err
2004-02-10 06:59:25.477,k82.236,k,2453045.79126709,-1381.19175608785,1.80399942398071,53734.0,1.41306185722351,-10060.193,,,,
2003-12-15 13:00:01.300,k80.286,k,2452989.04168171,-1391.06794627339,1.91052842140198,78551.0,1.62654066085815,9586.555,,,,
2004-03-12 12:37:07.634,k84.629,k,2453077.0257828,-1340.87003977925,2.2292799949646,38526.0,1.34090161323547,-18060.4,,,,
2004-01-13 10:38:41.564,k81.984,k,2453017.94353662,-1382.37759287984,1.76215136051178,87205.0,1.74157750606537,-517.5,,,,
2003-12-16 10:18:41.724,k80.476,k,2452989.92964958,-1424.91691477925,1.96668040752411,44564.0,1.38431715965271,9402.837,,,,
2010-06-24 05:56:44.758,j849.106,j,2455371.74774025,-45.0571005559169,1.4382735490799,51562.0,1.31275486946106,-6530.042,,,,
2009-06-03 06:52:15.285,j70.686,j,2454985.78628802,-293.240838285089,1.16023862361908,53314.0,1.3333740234375,-12710.792,1.03,0.001,11.3,0.1
2009-06-06 07:10:07.766,j70.1394,j,2454988.79870099,-292.749990659245,1.29982197284698,42656.0,1.24486041069031,-11892.952,1.0,0.001,11.43,0.1
2011-11-13 13:14:26.976,j137.285,j,2455879.05170111,281.706695319437,1.28327059745789,37994.0,1.2964118719101,17864.164,0.967,0.001,12.16,0.1
2006-01-11 13:01:42.205,j15.210,j,2453747.04284959,-959.866111652979,1.74928426742554,23199.0,1.12989664077759,-115.693,1.15,0.001,11.03,0.1
2007-01-30 11:27:27.608,j28.590,j,2454130.97740287,-753.657716348304,1.6181378364563,21936.0,1.14404797554016,-6753.028,0.976,0.001,11.2,0.1
2011-10-08 15:30:10.983,j133.455,j,2455843.14596045,268.581093512445,1.43605065345764,29696.0,1.2600325345993,20468.788,1.02,0.001,12.17,0.1
2010-06-23 06:09:42.666,j848.107,j,2455370.75674382,-51.6739487107249,1.55506491661072,31406.0,1.20200252532959,-6849.469,,,,
2013-01-27 08:03:14.721,j165.420,j,2456319.83558705,687.450539245152,1.56146943569183,47464.0,1.34429895877838,-5686.341,1.17,0.001,12.49,0.1
2009-01-07 13:37:16.005,j64.192,j,2454839.06754635,-381.126277697567,1.42842042446136,52578.0,1.35884606838226,1219.634,0.911,0.001,11.25,0.1
2005-04-23 07:02:36.971,j07.1033,j,2453483.79348346,-1127.80075984759,1.15688478946686,71833.0,1.64301335811615,-19994.256,1.17,0.001,11.01,0.1
2012-02-14 07:05:27.356,j888.130,j,2455971.79545551,365.533465751131,1.29110753536224,69825.0,1.42211723327637,-11299.145,,,,
2006-01-11 12:53:17.284,j15.209,j,2453747.0370056,-958.845330196923,1.94776797294617,14985.0,1.12041127681732,-107.682,1.14,0.001,11.09,0.1
2009-06-05 06:53:53.177,j70.1183,j,2454987.78742103,-294.937733032017,1.40023815631866,37046.0,1.22666108608246,-12168.822,1.02,0.001,11.37,0.1
2010-10-31 15:02:45.370,j105.184,j,2455501.126914,17.8603593893984,1.28165912628174,55353.0,1.39662337303162,19639.109,0.986,0.001,11.91,0.1
2008-12-06 12:41:11.446,j63.489,j,2454807.0286047,-396.345398412551,1.26475310325623,51938.0,1.35989677906036,12152.288,1.06,0.001,11.5,0.1
2010-01-02 12:52:18.326,j82.780,j,2455199.03632322,-175.514282741586,1.52838671207428,53296.0,1.35205125808716,3182.368,1.04,0.001,11.71,0.1
2011-12-16 11:51:22.111,j885.185,j,2455911.99400592,319.266271875987,1.39582407474518,68431.0,1.41219520568848,9326.14,,,,
2009-02-02 12:57:51.824,j66.163,j,2454865.04018315,-373.154529360976,1.16355013847351,51301.0,1.44603717327118,-8034.498,1.06,0.001,11.2,0.1
2013-02-02 12:14:15.536,j166.72,j,2456326.00990204,680.368189463191,1.66374731063843,53567.0,1.44975221157074,-7977.51,1.18,0.001,12.18,0.1
