,jd,mnvel,errvel,tel
0,2453428.0654926924,-292.05823164959816,0.6742271403693336,j
1,2453428.9944578307,-294.5158412129059,0.6976731691336431,j
2,2453547.8117217273,-313.40640445789074,0.7199972465620434,j
3,2453753.2466356796,-258.18228183668174,0.6904983838504233,j
4,2453754.1635759855,-257.0826971519176,0.6458886484904949,j
5,2453777.160340093,-250.551436961648,0.739473948435039,j
6,2453807.001139173,-248.80175330020936,0.7530070748630292,j
7,2453931.9980454706,-216.78871392984666,0.8047376695457841,j
8,2453981.8481632154,-195.15370758749307,0.5925886994291908,j
9,2454549.059375,159.55882603742418,1.3771020193980343,j
10,2454634.01544,234.66188246381367,1.3150277432244846,j
11,2454634.924965,221.69123898898224,1.2042648673868572,j
12,2454635.965694,228.36792880184504,1.1935608162521947,j
13,2454636.920498,222.8868501341029,1.2491646779464554,j
14,2454637.957836,226.34808735966453,1.1544996072123195,j
15,2454638.883206,225.96987572959154,1.151237930238501,j
16,2454640.039618,231.9121331296934,1.2570152980470997,j
17,2454640.81515,230.1868126012933,1.2104714060565938,j
18,2454641.958495,234.09197189979054,1.313248002404629,j
19,2454688.820023,275.73136046309173,1.3289740819724931,j
20,2454689.867535,276.2374504582784,1.2671209422177028,j
21,2454722.716516,311.96124334986337,1.3240258390452933,j
22,2454723.716759,312.0782883054577,1.233538552822114,j
23,2454724.724271,312.56450234318027,1.3103309954857152,j
24,2455016.984553,640.7015497957626,1.272814200955027,j
25,2456845.913459,2267.7833945002963,1.4940743176856066,j
26,2457413.143946,-78.94860016302121,1.359451669226663,j
27,2457414.097946,-79.47365164441325,1.204728720156115,j
28,2457423.15947,-87.13866852164135,1.3585232490968533,j
29,2457586.937007,-230.28772845225822,1.3462732895580145,j
30,2457587.937686,-237.16183584097132,1.6623712637505277,j
31,2457672.693467,-271.7080072232363,1.4833086383646028,j
32,2457679.716593,-263.3145265483687,1.5251380919901782,j
33,2457766.18369,-285.35348916980934,1.4758738592298197,j
34,2457788.175356,-281.67547418950267,1.4402412315058606,j
