,name,num_planets,nasa_num_planets,description,Verdict,Activity cycle?,status1,status2,status3,status4,status5,Mstar,M1,a1,M2,a2,M3,a3,M4,a4,M5,a5,per1,per2,per3,per4,per5,secosw1,secosw2,secosw3,secosw4,secosw5,sesinw1,sesinw2,sesinw3,sesinw4,sesinw5,tc1,tc2,tc3,tc4,tc5
0,38392,0,0,,,,,,,,,0.8045475724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,87359,1,0,Double star? Huge signal,N,"S=0.199, logR=-4.83, C=.0.53",N,,,,,0.9749163049,102.5879807,20.34790135,,,,,,,,,33954.25417,,,,,0.3396982315,,,,,0.2381108991,,,,,84993.96573,,,,
2,35974,0,0,,,,,,,,,1.025430561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,36308,0,0,,,,,,,,,0.923654926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,36395,0,0,,,,,,,,,0.6057820155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,37213,0,0,,,,,,,,,0.8847551709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37124,3,3,Good,Y,,K,K,K,,,0.7809241061,0.639256485,0.5182854224,0.6612832865,1.664663035,0.6563516923,2.637271239,,,,,154.2224162,887.7353539,1770.21579,,,-0.1942681314,0.2209937003,0.06788716353,,,0.1236713506,0.2901476855,0.198668003,,,-300.5168922,2454936.91,2443821.048,,
7,37962,0,0,,,,,,,,,0.8881878806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,38230,1,0,Binary,Y,,N,,,,,0.8180111603,10.18665708,17.29350688,,,,,,,,,29043.13003,,,,,0.1472760828,,,,,0.4786206599,,,,,25926.14357,,,,
9,87424,0,0,,,,,,,,,0.7960845556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8648,1,0,Linear trend,M,,N,,,,,1.095583883,32.39299629,22.11865018,,,,,,,,,36300.57794,,,,,0.1040288159,,,,,0.4961757492,,,,,2077.178264,,,,
11,3074a,1,0,Linear trend plus activity,N,"S=0.149, logR=-5.06, C=0.36",N,,,,,1.122543925,4.606680249,10.30166735,,,,,,,,,11398.77124,,,,,0.1411476196,,,,,-0.5171806011,,,,,3411.503564,,,,
12,5470,1,0,"Double star, bad fit",N,"S=0.179, logR=-4.87, C=-0.35",N,,,,,1.188507082,310.9514861,7.027383052,,,,,,,,,6241.485707,,,,,-0.02669267537,,,,,-0.4709030071,,,,,-2303.796053,,,,
13,6558,1,0,"BIG parabola, BINARY?",M,,N,,,,,1.294694325,22.0380406,9.135664334,,,,,,,,,8863.90323,,,,,0.3068992903,,,,,0.328280061,,,,,-3425.011825,,,,
14,4203,2,2,Good,Y,,K,K,,,,1.208956279,1.88973041,1.200852171,2.625253819,7.191942946,,,,,,,437.1469481,6407.114415,,,,0.6358982342,0.05759695536,,,,-0.3372324367,-0.3001314259,,,,25.81923726,2453856.748,,,
15,1388,1,0,"Linear trend, maybe parabola",Brown dwarf? Too massive,,N,,,,,1.014906092,54.92466452,18.18310952,,,,,,,,,28111.74012,,,,,-0.2972764815,,,,,0.009018749513,,,,,20850.86725,,,,
16,4208,1,1,Good,Y,,K,,,,,0.842869263,0.7828318177,1.637389807,,,,,,,,,833.5783805,,,,,-0.01996797599,,,,,-0.2040572542,,,,,-276.0403455,,,,
17,3795,1,0,"Bit more than parabola, BINARY?",M,,N,,,,,0.8677727516,120.7794959,11.14784563,,,,,,,,,14594.25203,,,,,0.0671313059,,,,,0.3622385702,,,,,7030.548566,,,,
18,8765,1,0,Double star,N,"S=0.189, logR=-4.86, C=strong (but also sparse)",N,,,,,1.030597577,42.62490673,3.351919226,,,,,,,,,2207.975171,,,,,0.6208808838,,,,,0.09080195472,,,,,-39.9253143,,,,
19,9986,1,0,"Clear new signal! 7.6 yr, S-value periodogram peaks at 4.8 yr. 1 way-outlier S-value",Y,"S=0.177, logR=-4.89",N,,,,,1.026929242,0.8979278641,4.308461543,,,,,,,,,3223.379932,,,,,0.1132917961,,,,,0.3536311762,,,,,-7053.305023,,,,
20,6872b,1,0,"Double star, bad fit",N,,N,,,,,1.088181243,32.21744531,4.874561379,,,,,,,,,3768.349056,,,,,0.01567568961,,,,,0.05931020995,,,,,-564.3353757,,,,
21,4747,3,0,"Bad fits, spec-binary",N,,N,N,N,,,0.8251829141,168.7818972,28.88155413,0.5521243339,4.526016523,0.0524864902,0.1370584797,,,,,62409.99563,3871.662714,20.40244325,,,-0.1978977325,0.6261241419,0.1297181834,,,0.1260264536,-0.01815083894,0.7095521494,,,16166.06359,2453017.57,2455205.315,,
22,8574,1,1,"Good, Lick data is ignored",Y,,K,,,,,1.077277293,1.773253251,0.7467485321,,,,,,,,,227.0890745,,,,,0.5249780713,,,,,0.1759986648,,,,,77.55008718,,,,
23,3765,1,0,"Promising, P_planet != P_activity",Y,"S=0.194, logR=-5.0, C=0.31",K,,,,,0.8513235655,0.178287645,2.171082651,,,,,,,,,1266.384641,,,,,-0.004757313027,,,,,-0.696288074,,,,,83.01835151,,,,
24,6734,1,0,"Parabola, new double star?",M,,N,,,,,0.9593391517,24.22083952,12.56084263,,,,,,,,,16601.23909,,,,,-0.4776104042,,,,,-0.3157755479,,,,,37.73172446,,,,
25,1326,1,0,V* GX And: known planet,C,"S=0.508, logR=-5.43, C=0.26",K,,,,,0.6017427076,0.02432632025,0.0838997735,,,,,,,,,11.44284965,,,,,-0.1279892348,,,,,0.09777855057,,,,,-0.8348660177,,,,
26,3651,2,1,"Potential long-period, but strong activity at 9.6 years",M,"S=0.17, logR=-5.05, C=-0.15",K,N,,,,0.8925019234,0.224366129,0.2959316846,0.1253180079,5.357922784,,,,,,,62.2416427,4794.999015,,,,-0.3506840419,-0.3350351014,,,,-0.6999897729,0.4437972472,,,,39.49412869,2452731.185,,,
27,1461,3,2,Dubious 3rd signal,M,"S=0.159, logR=-5, C=0.23",K,K,C,,,1.065488832,0.02298082527,0.06431377539,0.02782899654,0.1133593852,0.03537096279,0.3489037996,,,,,5.771384156,13.50548544,72.92602207,,,0.4568723078,-0.4818592139,0.06372000797,,,-0.1049810695,-0.25014988,-0.5795619324,,,5.26017089,2455201.271,2455230.351,,
28,9407,2,0,"120 & 180 days, maybe barycentric",M,"S=0.16, R=-4, C=0.039",C,N,,,,0.9347887265,0.03004351917,0.4701625828,0.02263619543,0.6090302943,,,,,,,121.7906054,179.5560478,,,,0.05625240147,0.4612998223,,,,-0.4692537768,0.3637184207,,,,38.1131958,2455191.754,,,
29,10476,1,0,"P=354d, dubious",M,,N,,,,,0.8377094569,0.05697129837,0.928118525,,,,,,,,,356.8263188,,,,,0.4726470233,,,,,0.6181056605,,,,,150.2774058,,,,
30,10697,1,1,Good,Y,,K,,,,,1.102852262,6.2394883,2.117925932,,,,,,,,,1072.02746,,,,,-0.1081937922,,,,,0.2939181253,,,,,774.7641078,,,,
31,10700,1,0,"P = 0.5 yr, seems barycentric",N,,N,,,,,0.722440619,0.02126018389,0.5653410919,,,,,,,,,182.6682966,,,,,0.01273953559,,,,,-0.6758187689,,,,,-19.12297569,,,,
32,11964a,4,0,Actually 2 NASA planets,Redo with better method,,K,K,N,N,,1.069901544,0.6108981126,3.104174399,0.07946318938,0.2259326476,0.2516201788,0.05588053762,0.009189317817,0.04750842236,,,1931.281984,37.9223295,4.66463196,3.656641915,,-0.3466224061,-0.2735251365,0.9942575304,-0.3114669041,,-0.2135225398,0.2143665047,-0.03810463504,-0.8869772591,,1167.475679,2455200.703,2455200.135,2455200.377,
33,12051,1,0,Messy periodogram,N,C=-0.009,N,,,,,0.972911102,0.03603507938,1.088566405,,,,,,,,,420.5757595,,,,,0.1828253978,,,,,-0.577692966,,,,,-568.448697,,,,
34,13931,1,1,Good,Y,,K,,,,,1.026256735,1.933245324,5.391164373,,,,,,,,,4513.300777,,,,,-0.1419307967,,,,,0.08013506457,,,,,1446.66202,,,,
35,14412,1,0,"360 days, new template",M,Not important,N,,,,,0.7543652916,0.05235740558,0.9026128005,,,,,,,,,360.6283046,,,,,0.2272564446,,,,,-0.7167995854,,,,,-275.2050333,,,,
36,16141,1,1,Good,Y,,K,,,,,1.094480161,0.2474724614,0.3601162097,,,,,,,,,75.44986825,,,,,0.2035188576,,,,,0.4167362449,,,,,-113.1738349,,,,
37,18143,1,0,Double star,N,,N,,,,,0.9078793844,8.141627803,19.4835584,,,,,,,,,32967.55702,,,,,-0.1282860573,,,,,-0.110327092,,,,,246.1768258,,,,
